,vm,model_size,num_cands,num_voters,probmodel,mean_profitability,est_std_error,variance,num_trials,learning_rate,labeling,batch_size,num_iterations,generation,agent_infos,manip_weight
0,Strict Nanson,"(4,)",3,10,uniform,-0.005824448,0.0004729801714169137,0.003665045,16384,0.006,optimize,512,2000,1,"('plurality_scores',)",1
1,Strict Nanson,"(8,)",3,10,uniform,-0.0013206424,0.0004394118539667205,0.001581541,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
2,Strict Nanson,"(16,)",3,10,uniform,-0.0016001966,0.0004357294387187724,0.0015551444,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
3,Strict Nanson,"(32,)",3,10,uniform,-0.0015773687,0.00044615455200091794,0.0016304504,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
4,Strict Nanson,"(64,)",3,10,uniform,-0.0018836253,0.0004850584104924379,0.0019271921,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
5,Strict Nanson,"(128,)",3,10,uniform,-0.0016291984,0.0004906332253064185,0.0019717454,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
6,Strict Nanson,"(256,)",3,10,uniform,-0.0016477995,0.0004689796975662679,0.0018015446,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
7,Strict Nanson,"(512,)",3,10,uniform,-0.00021886686,0.0004098679588894915,0.0013760204,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
8,Strict Nanson,"(1024,)",3,10,uniform,-0.0049571255,0.00045752061714950907,0.004286769,20480,0.006,optimize,512,2000,1,"('plurality_scores',)",1
9,Strict Nanson,"(4, 4)",3,10,uniform,-0.0013014895,0.0004081514036383454,0.0013645188,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
10,Strict Nanson,"(8, 8)",3,10,uniform,-0.0013037282,0.0004813978178249528,0.0009489911,4096,0.006,optimize,512,2000,1,"('plurality_scores',)",1
11,Strict Nanson,"(16, 8)",3,10,uniform,-0.00057686376,0.00038329863274553025,0.00060162856,4096,0.006,optimize,512,2000,1,"('plurality_scores',)",1
12,Strict Nanson,"(16, 16)",3,10,uniform,-0.001492287,0.0004093598656575224,0.0013726109,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
13,Strict Nanson,"(32, 32)",3,10,uniform,-0.0017724575,0.000413299230949252,0.0013991559,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
14,Strict Nanson,"(64, 32)",3,10,uniform,-0.0005010718,0.0004974860588571895,0.0010134813,4096,0.006,optimize,512,2000,1,"('plurality_scores',)",1
15,Strict Nanson,"(64, 64)",3,10,uniform,-0.0019773715,0.0004297064508174162,0.0015124488,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
16,Strict Nanson,"(128, 128)",3,10,uniform,-0.0021126324,0.00042364819504481325,0.0022052436,12288,0.006,optimize,512,2000,1,"('plurality_scores',)",1
17,Strict Nanson,"(256, 128)",3,10,uniform,-0.0020188324,0.00040699242745698334,0.0020352534,12288,0.006,optimize,512,2000,1,"('plurality_scores',)",1
18,Strict Nanson,"(256, 256)",3,10,uniform,-0.0008540033,0.00043886796678308437,0.0015776283,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
19,Strict Nanson,"(512, 512)",3,10,uniform,-0.001984882,0.0004757313895359425,0.0027807981,12288,0.006,optimize,512,2000,1,"('plurality_scores',)",1
20,Strict Nanson,"(1024, 1024)",3,10,uniform,-0.12657732,0.0004983644328112215,0.046796087,188416,0.006,optimize,512,2000,1,"('plurality_scores',)",1
21,Strict Nanson,"(8, 8, 8)",3,10,uniform,-0.00032443745,0.0004810772377213949,0.0009477276,4096,0.006,optimize,512,2000,1,"('plurality_scores',)",1
22,Strict Nanson,"(32, 16, 8)",3,10,uniform,-0.00042482864,0.00040828819467000356,0.0006826334,4096,0.006,optimize,512,2000,1,"('plurality_scores',)",1
23,Strict Nanson,"(32, 32, 32)",3,10,uniform,-0.0021438415,0.0004554373356050967,0.0016990032,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
24,Strict Nanson,"(64, 64, 64)",3,10,uniform,-0.0014311392,0.00046228771900611374,0.0017504981,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
25,Strict Nanson,"(128, 64, 32)",3,10,uniform,-0.0021612877,0.00043026003623045496,0.0015163482,8192,0.006,optimize,512,2000,1,"('plurality_scores',)",1
26,Strict Nanson,"(128, 128, 128)",3,10,uniform,-0.0014380506,0.0004303526483535514,0.0022755943,12288,0.006,optimize,512,2000,1,"('plurality_scores',)",1
27,Strict Nanson,"(256, 256, 256)",3,10,uniform,-0.0024832273,0.0004917173004644641,0.0029708233,12288,0.006,optimize,512,2000,1,"('plurality_scores',)",1
28,Strict Nanson,"(512, 256, 128)",3,10,uniform,-0.0010497896,0.00040086748964880285,0.0019744562,12288,0.006,optimize,512,2000,1,"('plurality_scores',)",1
29,Strict Nanson,"(512, 512, 512)",3,10,uniform,-0.12586933,0.0004977029756698159,0.04667195,188416,0.006,optimize,512,2000,1,"('plurality_scores',)",1
30,Stable Voting,"(4,)",3,10,uniform,0.005417417,0.0004887749114956329,0.009785143,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
31,Stable Voting,"(8,)",3,10,uniform,0.007059279,0.0004894861164124787,0.009813639,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
32,Stable Voting,"(16,)",3,10,uniform,0.007869098,0.00047727634685792053,0.009330162,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
33,Stable Voting,"(32,)",3,10,uniform,0.006698145,0.0004927001765898016,0.0099429395,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
34,Stable Voting,"(64,)",3,10,uniform,0.0076287477,0.000477977583649989,0.009357599,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
35,Stable Voting,"(128,)",3,10,uniform,0.0078092837,0.0004970880598554301,0.009108719,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
36,Stable Voting,"(256,)",3,10,uniform,0.0077558723,0.0004979026005290264,0.009138595,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
37,Stable Voting,"(512,)",3,10,uniform,0.0078044096,0.0004980534045915807,0.009144132,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
38,Stable Voting,"(1024,)",3,10,uniform,0.008923214,0.00048791788914291423,0.008775748,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
39,Stable Voting,"(4, 4)",3,10,uniform,-0.0050350176,0.0004999533079293511,0.015356882,61440,0.006,optimize,512,2000,1,"('plurality_scores',)",1
40,Stable Voting,"(8, 8)",3,10,uniform,0.00793554,0.0004896706379543397,0.008838912,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
41,Stable Voting,"(16, 8)",3,10,uniform,0.0073436326,0.0004777826355555005,0.009349966,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
42,Stable Voting,"(16, 16)",3,10,uniform,0.00748443,0.0004774547766927053,0.009337139,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
43,Stable Voting,"(32, 32)",3,10,uniform,0.008032705,0.0004978164900467357,0.009135435,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
44,Stable Voting,"(64, 32)",3,10,uniform,0.0080297375,0.0004924072347402426,0.008937983,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
45,Stable Voting,"(64, 64)",3,10,uniform,0.00770759,0.00048788079357055074,0.009749375,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
46,Stable Voting,"(128, 128)",3,10,uniform,0.0057533695,0.0004822429693921367,0.010477914,45056,0.006,optimize,512,2000,1,"('plurality_scores',)",1
47,Stable Voting,"(256, 128)",3,10,uniform,0.008422717,0.0004915654289444558,0.0089074485,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
48,Stable Voting,"(256, 256)",3,10,uniform,0.008653153,0.00049195499224131,0.008921573,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
49,Stable Voting,"(512, 512)",3,10,uniform,0.008673675,0.0004903976757150278,0.008865179,36864,0.006,optimize,512,2000,1,"('plurality_scores',)",1
50,Stable Voting,"(1024, 1024)",3,10,uniform,-0.06456597,0.0004979568530775952,0.046719577,188416,0.006,optimize,512,2000,1,"('plurality_scores',)",1
51,Stable Voting,"(8, 8, 8)",3,10,uniform,0.007069815,0.00047684011800934223,0.009313114,40960,0.006,optimize,512,2000,1,"('plurality_scores',)",1
