,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
119,Minimax,"(8,)",optimize,0.0004426866250604536,2,0.0035181148,3,11,"(0, 0)"
142,Plurality,"(512,)",optimize,0.0004856901602684276,2,0.00449196,3,11,"(0, 0)"
138,Plurality,"(4,)",optimize,0.0004616502628168543,2,0.0026871704,3,11,"(0, 0)"
136,Plurality,"(32,)",optimize,0.0004700499763154562,2,0.0056161457,3,11,"(0, 0)"
132,Plurality,"(256,)",optimize,0.0004894617194862712,2,0.0045238226,3,11,"(0, 0)"
128,Plurality,"(16,)",optimize,0.0004824783090015057,2,0.0050479565,3,11,"(0, 0)"
125,Plurality,"(128,)",optimize,0.00048121669287115446,2,0.0028613454,3,11,"(0, 0)"
121,Plurality,"(1024,)",optimize,0.0004886591843468947,2,0.0048382813,3,11,"(0, 0)"
116,Minimax,"(64,)",optimize,0.0004630049631368418,2,0.0033935194,3,11,"(0, 0)"
112,Minimax,"(512,)",optimize,0.0004758406670294686,2,0.003397434,3,11,"(0, 0)"
108,Minimax,"(4,)",optimize,0.0004364899998114266,2,0.0025344924,3,11,"(0, 0)"
106,Minimax,"(32,)",optimize,0.00044451469959982324,2,0.0034142009,3,11,"(0, 0)"
146,Plurality,"(64,)",optimize,0.000479192712823844,2,0.004542605,3,11,"(0, 0)"
102,Minimax,"(256,)",optimize,0.0004650050882193051,2,0.0037662014,3,11,"(0, 0)"
95,Minimax,"(128,)",optimize,0.0004777585655118537,2,0.0032340474,3,11,"(0, 0)"
91,Minimax,"(1024,)",optimize,0.00045252043373954627,2,0.0053852713,3,11,"(0, 0)"
89,Instant Runoff PUT,"(8,)",optimize,0.0004787703551820211,2,0.003733039,3,11,"(0, 0)"
86,Instant Runoff PUT,"(64,)",optimize,0.0004893332261851119,2,0.0077708783,3,11,"(0, 0)"
82,Instant Runoff PUT,"(512,)",optimize,0.0004859069096971639,2,0.0077833594,3,11,"(0, 0)"
78,Instant Runoff PUT,"(4,)",optimize,0.00048031166682383517,2,0.0037636412,3,11,"(0, 0)"
76,Instant Runoff PUT,"(32,)",optimize,0.0004919991082197617,2,0.0070725805,3,11,"(0, 0)"
72,Instant Runoff PUT,"(256,)",optimize,0.0004779155644950734,2,0.007735574,3,11,"(0, 0)"
68,Instant Runoff PUT,"(16,)",optimize,0.0004891751193825043,2,0.007681082,3,11,"(0, 0)"
65,Instant Runoff PUT,"(128,)",optimize,0.0004971274102191221,2,0.0076800534,3,11,"(0, 0)"
61,Instant Runoff PUT,"(1024,)",optimize,0.000494181180833985,2,0.008128555,3,11,"(0, 0)"
98,Minimax,"(16,)",optimize,0.0004475286649641277,2,0.0037272994,3,11,"(0, 0)"
59,Instant Runoff,"(8,)",optimize,0.0004848211687859943,2,0.0028937017,3,11,"(0, 0)"
149,Plurality,"(8,)",optimize,0.0004852329904715602,2,0.004808013,3,11,"(0, 0)"
155,Split Cycle,"(128,)",optimize,0.0004777585655118537,2,0.0032340474,3,11,"(0, 0)"
236,Strict Nanson,"(64,)",optimize,0.00048399039150053187,2,0.009412757,3,11,"(0, 0)"
232,Strict Nanson,"(512,)",optimize,0.00047582680554608794,2,0.010458127,3,11,"(0, 0)"
228,Strict Nanson,"(4,)",optimize,0.0004877634235804005,2,0.0056466884,3,11,"(0, 0)"
226,Strict Nanson,"(32,)",optimize,0.00048973545773538,2,0.009618519,3,11,"(0, 0)"
222,Strict Nanson,"(256,)",optimize,0.00048081022003071075,2,0.009856556,3,11,"(0, 0)"
218,Strict Nanson,"(16,)",optimize,0.00048105042211507603,2,0.0086903395,3,11,"(0, 0)"
215,Strict Nanson,"(128,)",optimize,0.00048269221170623247,2,0.010250732,3,11,"(0, 0)"
211,Strict Nanson,"(1024,)",optimize,0.0004790872874511987,2,0.010396432,3,11,"(0, 0)"
209,Stable Voting,"(8,)",optimize,0.0004426866250604536,2,0.0035181148,3,11,"(0, 0)"
206,Stable Voting,"(64,)",optimize,0.0004630049631368418,2,0.0033935194,3,11,"(0, 0)"
202,Stable Voting,"(512,)",optimize,0.0004758406670294686,2,0.003397434,3,11,"(0, 0)"
151,Split Cycle,"(1024,)",optimize,0.00045252043373954627,2,0.0053852713,3,11,"(0, 0)"
198,Stable Voting,"(4,)",optimize,0.0004364899998114266,2,0.0025344924,3,11,"(0, 0)"
192,Stable Voting,"(256,)",optimize,0.0004650050882193051,2,0.0037662014,3,11,"(0, 0)"
188,Stable Voting,"(16,)",optimize,0.0004475286649641277,2,0.0037272994,3,11,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004777585655118537,2,0.0032340474,3,11,"(0, 0)"
181,Stable Voting,"(1024,)",optimize,0.00045252043373954627,2,0.0053852713,3,11,"(0, 0)"
179,Split Cycle,"(8,)",optimize,0.0004426866250604536,2,0.0035181148,3,11,"(0, 0)"
176,Split Cycle,"(64,)",optimize,0.0004630049631368418,2,0.0033935194,3,11,"(0, 0)"
172,Split Cycle,"(512,)",optimize,0.0004758406670294686,2,0.003397434,3,11,"(0, 0)"
168,Split Cycle,"(4,)",optimize,0.0004364899998114266,2,0.0025344924,3,11,"(0, 0)"
166,Split Cycle,"(32,)",optimize,0.00044451469959982324,2,0.0034142009,3,11,"(0, 0)"
162,Split Cycle,"(256,)",optimize,0.0004650050882193051,2,0.0037662014,3,11,"(0, 0)"
158,Split Cycle,"(16,)",optimize,0.0004475286649641277,2,0.0037272994,3,11,"(0, 0)"
196,Stable Voting,"(32,)",optimize,0.00044451469959982324,2,0.0034142009,3,11,"(0, 0)"
56,Instant Runoff,"(64,)",optimize,0.0004933667484464471,2,0.006467646,3,11,"(0, 0)"
239,Strict Nanson,"(8,)",optimize,0.0004981021389828149,2,0.010010558,3,11,"(0, 0)"
48,Instant Runoff,"(4,)",optimize,0.0004892016878712532,2,0.00035045444,3,11,"(0, 0)"
26,Borda,"(64,)",optimize,0.00048158781403773187,2,0.027220698,3,11,"(0, 0)"
