,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
103,Minimax,"(8,)",optimize,0.0004920709271183416,1,-0.013985972,6,10,"(0, 0)"
122,Plurality,"(512,)",optimize,0.0004854191293352242,1,0.013977583,6,10,"(0, 0)"
120,Plurality,"(4,)",optimize,0.0004999478318403355,1,-0.013607665,6,10,"(0, 0)"
118,Plurality,"(32,)",optimize,0.0004968931193416038,1,0.014453485,6,10,"(0, 0)"
114,Plurality,"(256,)",optimize,0.00048763314790904906,1,0.013357793,6,10,"(0, 0)"
110,Plurality,"(16,)",optimize,0.0004865236689793507,1,0.009191285,6,10,"(0, 0)"
107,Plurality,"(128,)",optimize,0.0004963556070857219,1,0.0144419335,6,10,"(0, 0)"
100,Minimax,"(64,)",optimize,0.0004786668191108435,1,-0.0039531905,6,10,"(0, 0)"
96,Minimax,"(512,)",optimize,0.00047336523965210204,1,-0.0052323057,6,10,"(0, 0)"
94,Minimax,"(4,)",optimize,0.0004917854492641924,1,-0.030082852,6,10,"(0, 0)"
126,Plurality,"(64,)",optimize,0.000498856192424005,1,0.012742784,6,10,"(0, 0)"
92,Minimax,"(32,)",optimize,0.0004896519627954961,1,-0.0063556586,6,10,"(0, 0)"
84,Minimax,"(16,)",optimize,0.0004901491977538367,1,-0.0078073516,6,10,"(0, 0)"
81,Minimax,"(128,)",optimize,0.00048134809230399343,1,-0.003633921,6,10,"(0, 0)"
77,Instant Runoff PUT,"(8,)",optimize,0.00046377568919774687,1,-0.004049325,6,10,"(0, 0)"
74,Instant Runoff PUT,"(64,)",optimize,0.0004984571849214084,1,-0.0046178713,6,10,"(0, 0)"
70,Instant Runoff PUT,"(512,)",optimize,0.0004946314408108934,1,-0.007696386,6,10,"(0, 0)"
68,Instant Runoff PUT,"(4,)",optimize,0.00048298896613769367,1,-0.02435259,6,10,"(0, 0)"
66,Instant Runoff PUT,"(32,)",optimize,0.000498734459640128,1,-0.0072660563,6,10,"(0, 0)"
62,Instant Runoff PUT,"(256,)",optimize,0.0004924599208137497,1,-0.00737677,6,10,"(0, 0)"
58,Instant Runoff PUT,"(16,)",optimize,0.0004650353281434622,1,-0.00515999,6,10,"(0, 0)"
88,Minimax,"(256,)",optimize,0.0004732963966878664,1,-0.005525395,6,10,"(0, 0)"
129,Plurality,"(8,)",optimize,0.000488318578153461,1,0.013139925,6,10,"(0, 0)"
133,Split Cycle,"(128,)",optimize,0.00048531605119913273,1,-0.0038423643,6,10,"(0, 0)"
136,Split Cycle,"(16,)",optimize,0.00046979393332888367,1,-0.004957634,6,10,"(0, 0)"
204,Strict Nanson,"(64,)",optimize,0.0004933186547229028,1,0.00020863488,6,10,"(0, 0)"
200,Strict Nanson,"(512,)",optimize,0.00048345894130923507,1,-0.00040251153,6,10,"(0, 0)"
198,Strict Nanson,"(4,)",optimize,0.0004988714709941672,1,-0.036807865,6,10,"(0, 0)"
196,Strict Nanson,"(32,)",optimize,0.0004943853736436401,1,2.7303491e-05,6,10,"(0, 0)"
192,Strict Nanson,"(256,)",optimize,0.0004855017074063758,1,-0.0033796737,6,10,"(0, 0)"
188,Strict Nanson,"(16,)",optimize,0.000489963992300593,1,-0.0035767779,6,10,"(0, 0)"
185,Strict Nanson,"(128,)",optimize,0.0004856334086792667,1,0.0019755566,6,10,"(0, 0)"
181,Stable Voting,"(8,)",optimize,0.0004961379241267449,1,-0.01698134,6,10,"(0, 0)"
178,Stable Voting,"(64,)",optimize,0.0004943251640278323,1,0.020442858,6,10,"(0, 0)"
174,Stable Voting,"(512,)",optimize,0.0004922672883067275,1,0.015444311,6,10,"(0, 0)"
172,Stable Voting,"(4,)",optimize,0.0004963963736949103,1,-0.0492862,6,10,"(0, 0)"
170,Stable Voting,"(32,)",optimize,0.0004938446978202076,1,-0.003951046,6,10,"(0, 0)"
166,Stable Voting,"(256,)",optimize,0.0004944325911369133,1,0.022232361,6,10,"(0, 0)"
162,Stable Voting,"(16,)",optimize,0.0004934340822099123,1,0.00053151185,6,10,"(0, 0)"
159,Stable Voting,"(128,)",optimize,0.0004911136634177472,1,0.02362386,6,10,"(0, 0)"
155,Split Cycle,"(8,)",optimize,0.0004980173293872795,1,-0.013487991,6,10,"(0, 0)"
152,Split Cycle,"(64,)",optimize,0.0004885295083482459,1,-0.0034288983,6,10,"(0, 0)"
148,Split Cycle,"(512,)",optimize,0.00047668236657008394,1,-0.003424223,6,10,"(0, 0)"
146,Split Cycle,"(4,)",optimize,0.00048719680357041,1,-0.029376222,6,10,"(0, 0)"
144,Split Cycle,"(32,)",optimize,0.0004928019684429263,1,-0.0067191874,6,10,"(0, 0)"
140,Split Cycle,"(256,)",optimize,0.00048283218678400763,1,-0.0027384988,6,10,"(0, 0)"
55,Instant Runoff PUT,"(128,)",optimize,0.0004967084168347763,1,-0.0044240095,6,10,"(0, 0)"
51,Instant Runoff,"(8,)",optimize,0.0004989686676447901,1,-0.0001755607,6,10,"(0, 0)"
207,Strict Nanson,"(8,)",optimize,0.0004823381645159161,1,-0.013264262,6,10,"(0, 0)"
14,Borda,"(32,)",optimize,0.0004914009647580025,1,0.06143638,6,10,"(0, 0)"
36,Instant Runoff,"(256,)",optimize,0.0004979151427975619,1,-0.0019427566,6,10,"(0, 0)"
16,Borda,"(4,)",optimize,0.0004971829087545898,1,-0.041407745,6,10,"(0, 0)"
42,Instant Runoff,"(4,)",optimize,0.0004966085084568871,1,-0.023686536,6,10,"(0, 0)"
18,Borda,"(512,)",optimize,0.0004976900401043623,1,0.04638597,6,10,"(0, 0)"
6,Borda,"(16,)",optimize,0.0004910567102502396,1,0.059663642,6,10,"(0, 0)"
40,Instant Runoff,"(32,)",optimize,0.000495914415230482,1,-0.0043013617,6,10,"(0, 0)"
32,Instant Runoff,"(16,)",optimize,0.0004946217645280976,1,-0.0034944052,6,10,"(0, 0)"
22,Borda,"(64,)",optimize,0.0004990840711021921,1,0.058070663,6,10,"(0, 0)"
44,Instant Runoff,"(512,)",optimize,0.0004888540569264302,1,-0.0020163013,6,10,"(0, 0)"
10,Borda,"(256,)",optimize,0.0004965198827366335,1,0.05342446,6,10,"(0, 0)"
29,Instant Runoff,"(128,)",optimize,0.0004959497128138128,1,-0.0017686257,6,10,"(0, 0)"
48,Instant Runoff,"(64,)",optimize,0.0004945004679138329,1,-0.0044325264,6,10,"(0, 0)"
25,Borda,"(8,)",optimize,0.0004964818586643994,1,0.012060231,6,10,"(0, 0)"
3,Borda,"(128,)",optimize,0.0004918713135576837,1,0.05493337,6,10,"(0, 0)"
171,Stable Voting,"(4, 4)",optimize,0.00049863393647565,1,-0.045661658,6,10,"(2, 8)"
15,Borda,"(4, 4)",optimize,0.00049771198934065,1,-0.03622141,6,10,"(2, 8)"
41,Instant Runoff,"(4, 4)",optimize,0.0004938196724239696,1,-0.021216903,6,10,"(2, 8)"
119,Plurality,"(4, 4)",optimize,0.0004913061858421886,1,-0.013805381,6,10,"(2, 8)"
145,Split Cycle,"(4, 4)",optimize,0.0004992334104400397,1,-0.030752938,6,10,"(2, 8)"
93,Minimax,"(4, 4)",optimize,0.00048620903474187125,1,-0.03063613,6,10,"(2, 8)"
197,Strict Nanson,"(4, 4)",optimize,0.0004951020865643303,1,-0.03502775,6,10,"(2, 8)"
67,Instant Runoff PUT,"(4, 4)",optimize,0.000491274976280935,1,-0.022246221,6,10,"(2, 8)"
23,Borda,"(8, 8)",optimize,0.0004968951337742058,1,0.0069961892,6,10,"(2, 16)"
153,Split Cycle,"(8, 8)",optimize,0.0004836447125417048,1,-0.0122360075,6,10,"(2, 16)"
101,Minimax,"(8, 8)",optimize,0.0004947816527447686,1,-0.0125040505,6,10,"(2, 16)"
127,Plurality,"(8, 8)",optimize,0.0004891936987097594,1,0.012970214,6,10,"(2, 16)"
49,Instant Runoff,"(8, 8)",optimize,0.0004863349328496091,1,-0.0012355307,6,10,"(2, 16)"
75,Instant Runoff PUT,"(8, 8)",optimize,0.0004994807921335374,1,-0.0037047144,6,10,"(2, 16)"
179,Stable Voting,"(8, 8)",optimize,0.0004994739853927041,1,-0.017945288,6,10,"(2, 16)"
205,Strict Nanson,"(8, 8)",optimize,0.0004905203787732163,1,-0.013701057,6,10,"(2, 16)"
161,Stable Voting,"(16, 8)",optimize,0.0004952057000375501,1,-0.0115333665,6,10,"(2, 24)"
187,Strict Nanson,"(16, 8)",optimize,0.0004957740466507145,1,-0.011993883,6,10,"(2, 24)"
57,Instant Runoff PUT,"(16, 8)",optimize,0.0004811285136392721,1,-0.005837125,6,10,"(2, 24)"
