,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
103,Minimax,"(8,)",optimize,0.0004572507996612079,1,-0.0015061403,3,10,"(0, 0)"
122,Plurality,"(512,)",optimize,0.0004952545948116534,1,0.022561211,3,10,"(0, 0)"
120,Plurality,"(4,)",optimize,0.00045830417376180175,1,0.005239929,3,10,"(0, 0)"
118,Plurality,"(32,)",optimize,0.0004925668993816563,1,0.022134092,3,10,"(0, 0)"
114,Plurality,"(256,)",optimize,0.0004985634706925479,1,0.02268311,3,10,"(0, 0)"
110,Plurality,"(16,)",optimize,0.00045053915453691844,1,0.0072738957,3,10,"(0, 0)"
107,Plurality,"(128,)",optimize,0.00047831170899204973,1,0.021293918,3,10,"(0, 0)"
100,Minimax,"(64,)",optimize,0.0003852247492785817,1,-0.0013637965,3,10,"(0, 0)"
96,Minimax,"(512,)",optimize,0.0004747019986573389,1,-0.0006120368,3,10,"(0, 0)"
94,Minimax,"(4,)",optimize,0.0003917335368335265,1,-0.0009796007,3,10,"(0, 0)"
126,Plurality,"(64,)",optimize,0.0004715938720257527,1,0.023124188,3,10,"(0, 0)"
92,Minimax,"(32,)",optimize,0.00045052535845778186,1,-0.00121624,3,10,"(0, 0)"
84,Minimax,"(16,)",optimize,0.00045874001294466787,1,-0.0014218737,3,10,"(0, 0)"
81,Minimax,"(128,)",optimize,0.00039321035760743196,1,-0.001435621,3,10,"(0, 0)"
77,Instant Runoff PUT,"(8,)",optimize,0.0002988669499690948,1,-0.0010212988,3,10,"(0, 0)"
74,Instant Runoff PUT,"(64,)",optimize,0.00043157770155574795,1,-0.0015334263,3,10,"(0, 0)"
70,Instant Runoff PUT,"(512,)",optimize,0.000460802055055447,1,-0.0027910639,3,10,"(0, 0)"
68,Instant Runoff PUT,"(4,)",optimize,0.0004708514736429569,1,-0.004839624,3,10,"(0, 0)"
66,Instant Runoff PUT,"(32,)",optimize,0.0004409164534621633,1,-0.0015775178,3,10,"(0, 0)"
62,Instant Runoff PUT,"(256,)",optimize,0.00044363897188120024,1,-0.0016217738,3,10,"(0, 0)"
58,Instant Runoff PUT,"(16,)",optimize,0.00045365509287748876,1,-0.0010408718,3,10,"(0, 0)"
88,Minimax,"(256,)",optimize,0.0003963594055916742,1,-0.0008892126,3,10,"(0, 0)"
129,Plurality,"(8,)",optimize,0.0004919015318851012,1,0.015455805,3,10,"(0, 0)"
133,Split Cycle,"(128,)",optimize,0.00039321035760743196,1,-0.001435621,3,10,"(0, 0)"
136,Split Cycle,"(16,)",optimize,0.00045874001294466787,1,-0.0014218737,3,10,"(0, 0)"
204,Strict Nanson,"(64,)",optimize,0.00038801520505026227,1,-0.0010030175,3,10,"(0, 0)"
200,Strict Nanson,"(512,)",optimize,0.0004501512086423629,1,-0.0006330366,3,10,"(0, 0)"
198,Strict Nanson,"(4,)",optimize,0.0004002289582938336,1,-0.00087182305,3,10,"(0, 0)"
196,Strict Nanson,"(32,)",optimize,0.00038209153244691554,1,-0.0004694091,3,10,"(0, 0)"
192,Strict Nanson,"(256,)",optimize,0.0003952382127465447,1,-0.00094255415,3,10,"(0, 0)"
188,Strict Nanson,"(16,)",optimize,0.0004733368597547262,1,-0.0011254644,3,10,"(0, 0)"
185,Strict Nanson,"(128,)",optimize,0.00037988807297382234,1,-0.0010175775,3,10,"(0, 0)"
181,Stable Voting,"(8,)",optimize,0.000490734657539416,1,0.0073079346,3,10,"(0, 0)"
178,Stable Voting,"(64,)",optimize,0.00047979276135519757,1,0.007867312,3,10,"(0, 0)"
174,Stable Voting,"(512,)",optimize,0.0004923226719062929,1,0.00851554,3,10,"(0, 0)"
172,Stable Voting,"(4,)",optimize,0.0004897126913128793,1,-0.0010489096,3,10,"(0, 0)"
