,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
119,Minimax,"(8,)",optimize,0.00045396220140411065,2,-0.0008555413,3,11,"(0, 0)"
142,Plurality,"(512,)",optimize,0.00047173023259810377,2,0.018682063,3,11,"(0, 0)"
138,Plurality,"(4,)",optimize,0.00046606546316295183,2,0.013410799,3,11,"(0, 0)"
136,Plurality,"(32,)",optimize,0.0004698618167567639,2,0.014099029,3,11,"(0, 0)"
132,Plurality,"(256,)",optimize,0.0004667614108817211,2,0.018346911,3,11,"(0, 0)"
128,Plurality,"(16,)",optimize,0.000473456025852251,2,0.01409917,3,11,"(0, 0)"
125,Plurality,"(128,)",optimize,0.0004706023435502471,2,0.01896309,3,11,"(0, 0)"
121,Plurality,"(1024,)",optimize,0.00046713441674587584,2,0.019360555,3,11,"(0, 0)"
116,Minimax,"(64,)",optimize,0.0004325353224483877,2,-0.001063537,3,11,"(0, 0)"
112,Minimax,"(512,)",optimize,0.0004392382485094788,2,-0.0006695384,3,11,"(0, 0)"
108,Minimax,"(4,)",optimize,0.0004579634856585462,2,-0.0035043943,3,11,"(0, 0)"
106,Minimax,"(32,)",optimize,0.0004869606600319047,2,-0.0018626257,3,11,"(0, 0)"
146,Plurality,"(64,)",optimize,0.00047952451943492617,2,0.014952243,3,11,"(0, 0)"
102,Minimax,"(256,)",optimize,0.00044646904642347266,2,-0.00089035305,3,11,"(0, 0)"
95,Minimax,"(128,)",optimize,0.00047613790091096417,2,-6.610085e-05,3,11,"(0, 0)"
91,Minimax,"(1024,)",optimize,0.0004937939849051642,2,-0.04886373,3,11,"(0, 0)"
89,Instant Runoff PUT,"(8,)",optimize,0.00048568847855009247,2,-0.0062507913,3,11,"(0, 0)"
86,Instant Runoff PUT,"(64,)",optimize,0.0003780841251557132,2,-0.002705942,3,11,"(0, 0)"
82,Instant Runoff PUT,"(512,)",optimize,0.0004802457688142213,2,-0.003045325,3,11,"(0, 0)"
78,Instant Runoff PUT,"(4,)",optimize,0.0004937289283568009,2,-0.0033965083,3,11,"(0, 0)"
76,Instant Runoff PUT,"(32,)",optimize,0.0004614727211651788,2,-0.0006145689,3,11,"(0, 0)"
72,Instant Runoff PUT,"(256,)",optimize,0.000491944701011208,2,-0.0017079539,3,11,"(0, 0)"
68,Instant Runoff PUT,"(16,)",optimize,0.0002905069945408772,2,-0.000800031,3,11,"(0, 0)"
65,Instant Runoff PUT,"(128,)",optimize,0.0004923852876408844,2,-0.0024448652,3,11,"(0, 0)"
61,Instant Runoff PUT,"(1024,)",optimize,0.0004982507152904648,2,-0.023073401,3,11,"(0, 0)"
98,Minimax,"(16,)",optimize,0.0004725242710166009,2,-0.00033480572,3,11,"(0, 0)"
59,Instant Runoff,"(8,)",optimize,0.0004747860302501135,2,-0.006725274,3,11,"(0, 0)"
149,Plurality,"(8,)",optimize,0.00045589352954219966,2,0.014530535,3,11,"(0, 0)"
155,Split Cycle,"(128,)",optimize,0.00047613790091096417,2,-6.610085e-05,3,11,"(0, 0)"
236,Strict Nanson,"(64,)",optimize,0.0004606301756244614,2,-0.003111863,3,11,"(0, 0)"
232,Strict Nanson,"(512,)",optimize,0.0004829371495409637,2,-0.011956151,3,11,"(0, 0)"
