,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
103,Minimax,"(8,)",optimize,0.0004921423092262109,1,0.006283401,3,10,"(0, 0)"
122,Plurality,"(512,)",optimize,0.0004785482484960661,1,0.007535433,3,10,"(0, 0)"
120,Plurality,"(4,)",optimize,0.0004761898194465836,1,0.0034160365,3,10,"(0, 0)"
118,Plurality,"(32,)",optimize,0.0004864270377431616,1,0.007266966,3,10,"(0, 0)"
114,Plurality,"(256,)",optimize,0.0004994421817284498,1,0.007636928,3,10,"(0, 0)"
110,Plurality,"(16,)",optimize,0.00048532769422861033,1,0.007155558,3,10,"(0, 0)"
107,Plurality,"(128,)",optimize,0.0004879732561664391,1,0.00766664,3,10,"(0, 0)"
100,Minimax,"(64,)",optimize,0.00044406762761050765,1,0.008693082,3,10,"(0, 0)"
96,Minimax,"(512,)",optimize,0.00044563546407587083,1,0.008114663,3,10,"(0, 0)"
94,Minimax,"(4,)",optimize,0.0004904210543542183,1,0.004060736,3,10,"(0, 0)"
126,Plurality,"(64,)",optimize,0.0004924940174138423,1,0.0069001624,3,10,"(0, 0)"
92,Minimax,"(32,)",optimize,0.0004471815642584031,1,0.008114636,3,10,"(0, 0)"
84,Minimax,"(16,)",optimize,0.0004302711492089111,1,0.0073868176,3,10,"(0, 0)"
81,Minimax,"(128,)",optimize,0.0004422535477491821,1,0.008685796,3,10,"(0, 0)"
77,Instant Runoff PUT,"(8,)",optimize,0.00045388512497824353,1,0.00039867745,3,10,"(0, 0)"
74,Instant Runoff PUT,"(64,)",optimize,0.00045104265940054265,1,0.0038003172,3,10,"(0, 0)"
70,Instant Runoff PUT,"(512,)",optimize,0.000450208864394932,1,0.005109312,3,10,"(0, 0)"
68,Instant Runoff PUT,"(4,)",optimize,0.0004889147849537026,1,-0.0015129885,3,10,"(0, 0)"
66,Instant Runoff PUT,"(32,)",optimize,0.00046778718644731424,1,0.0013145771,3,10,"(0, 0)"
62,Instant Runoff PUT,"(256,)",optimize,0.000463420334781998,1,0.0052692536,3,10,"(0, 0)"
58,Instant Runoff PUT,"(16,)",optimize,0.0004803769157536143,1,0.0031962814,3,10,"(0, 0)"
88,Minimax,"(256,)",optimize,0.00045548679408792206,1,0.0057791504,3,10,"(0, 0)"
129,Plurality,"(8,)",optimize,0.00048314892718232205,1,0.0051188488,3,10,"(0, 0)"
133,Split Cycle,"(128,)",optimize,0.0004422535477491821,1,0.008685796,3,10,"(0, 0)"
136,Split Cycle,"(16,)",optimize,0.0004302711492089111,1,0.0073868176,3,10,"(0, 0)"
204,Strict Nanson,"(64,)",optimize,0.0004712556544545385,1,0.0072847228,3,10,"(0, 0)"
200,Strict Nanson,"(512,)",optimize,0.00048356875204197256,1,0.0065826857,3,10,"(0, 0)"
198,Strict Nanson,"(4,)",optimize,0.00044184688790382617,1,0.0037345616,3,10,"(0, 0)"
196,Strict Nanson,"(32,)",optimize,0.00046771863987593956,1,0.008355942,3,10,"(0, 0)"
192,Strict Nanson,"(256,)",optimize,0.00045793563430866763,1,0.00807001,3,10,"(0, 0)"
188,Strict Nanson,"(16,)",optimize,0.0004467003687379374,1,0.007603811,3,10,"(0, 0)"
185,Strict Nanson,"(128,)",optimize,0.0004548247701165532,1,0.009035391,3,10,"(0, 0)"
181,Stable Voting,"(8,)",optimize,0.00047104346388870163,1,0.022690414,3,10,"(0, 0)"
178,Stable Voting,"(64,)",optimize,0.00048595390363534945,1,0.023282848,3,10,"(0, 0)"
174,Stable Voting,"(512,)",optimize,0.00048661685401716687,1,0.024310637,3,10,"(0, 0)"
172,Stable Voting,"(4,)",optimize,0.0004921561784459445,1,0.015648538,3,10,"(0, 0)"
170,Stable Voting,"(32,)",optimize,0.0004976192680743776,1,0.022475518,3,10,"(0, 0)"
166,Stable Voting,"(256,)",optimize,0.00048557507402173175,1,0.02396585,3,10,"(0, 0)"
162,Stable Voting,"(16,)",optimize,0.00047617734537621145,1,0.020963648,3,10,"(0, 0)"
159,Stable Voting,"(128,)",optimize,0.0004839831094839851,1,0.02420006,3,10,"(0, 0)"
155,Split Cycle,"(8,)",optimize,0.0004921423092262109,1,0.006283401,3,10,"(0, 0)"
152,Split Cycle,"(64,)",optimize,0.00044406762761050765,1,0.008693082,3,10,"(0, 0)"
148,Split Cycle,"(512,)",optimize,0.00044563546407587083,1,0.008114663,3,10,"(0, 0)"
146,Split Cycle,"(4,)",optimize,0.0004904210543542183,1,0.004060736,3,10,"(0, 0)"
144,Split Cycle,"(32,)",optimize,0.0004471815642584031,1,0.008114636,3,10,"(0, 0)"
140,Split Cycle,"(256,)",optimize,0.00045548679408792206,1,0.0057791504,3,10,"(0, 0)"
55,Instant Runoff PUT,"(128,)",optimize,0.0004663760116521893,1,0.0045787124,3,10,"(0, 0)"
51,Instant Runoff,"(8,)",optimize,0.0004982324476676764,1,-4.4220542e-05,3,10,"(0, 0)"
207,Strict Nanson,"(8,)",optimize,0.0004282569414688303,1,0.0064559844,3,10,"(0, 0)"
14,Borda,"(32,)",optimize,0.0004924523092772442,1,0.03081882,3,10,"(0, 0)"
36,Instant Runoff,"(256,)",optimize,0.00048003613840124764,1,0.003590751,3,10,"(0, 0)"
16,Borda,"(4,)",optimize,0.000489269438227257,1,0.022930222,3,10,"(0, 0)"
42,Instant Runoff,"(4,)",optimize,0.000490855501451608,1,-0.0038120344,3,10,"(0, 0)"
18,Borda,"(512,)",optimize,0.0004912300008672836,1,0.02987259,3,10,"(0, 0)"
6,Borda,"(16,)",optimize,0.000494271354771178,1,0.02929842,3,10,"(0, 0)"
40,Instant Runoff,"(32,)",optimize,0.000498765881893933,1,0.0022022403,3,10,"(0, 0)"
32,Instant Runoff,"(16,)",optimize,0.00047973403066835034,1,0.0018695637,3,10,"(0, 0)"
22,Borda,"(64,)",optimize,0.0004941150121427952,1,0.031067833,3,10,"(0, 0)"
44,Instant Runoff,"(512,)",optimize,0.00048380060972200254,1,0.0036479905,3,10,"(0, 0)"
10,Borda,"(256,)",optimize,0.000493351526267539,1,0.03134527,3,10,"(0, 0)"
29,Instant Runoff,"(128,)",optimize,0.00048465319887748814,1,0.0013134903,3,10,"(0, 0)"
48,Instant Runoff,"(64,)",optimize,0.00048036531589852306,1,0.0033517352,3,10,"(0, 0)"
25,Borda,"(8,)",optimize,0.0004953778663839288,1,0.030759579,3,10,"(0, 0)"
3,Borda,"(128,)",optimize,0.0004930626868911231,1,0.03160553,3,10,"(0, 0)"
171,Stable Voting,"(4, 4)",optimize,0.00048675225796689304,1,0.010119681,3,10,"(2, 8)"
15,Borda,"(4, 4)",optimize,0.0004976040251650593,1,0.02289158,3,10,"(2, 8)"
41,Instant Runoff,"(4, 4)",optimize,0.0004911350000572504,1,-0.003410786,3,10,"(2, 8)"
119,Plurality,"(4, 4)",optimize,0.0004987526089514548,1,0.003546901,3,10,"(2, 8)"
145,Split Cycle,"(4, 4)",optimize,0.00048165266799365334,1,0.0043340814,3,10,"(2, 8)"
93,Minimax,"(4, 4)",optimize,0.00048165266799365334,1,0.0043340814,3,10,"(2, 8)"
197,Strict Nanson,"(4, 4)",optimize,0.00043091557130223195,1,0.003249594,3,10,"(2, 8)"
67,Instant Runoff PUT,"(4, 4)",optimize,0.0004457158737393609,1,0.0006461763,3,10,"(2, 8)"
23,Borda,"(8, 8)",optimize,0.0004978341001995155,1,0.030774284,3,10,"(2, 16)"
153,Split Cycle,"(8, 8)",optimize,0.00045108646997926813,1,0.007132885,3,10,"(2, 16)"
101,Minimax,"(8, 8)",optimize,0.00045108646997926813,1,0.007132885,3,10,"(2, 16)"
127,Plurality,"(8, 8)",optimize,0.0004791923422578509,1,0.0058307853,3,10,"(2, 16)"
49,Instant Runoff,"(8, 8)",optimize,0.0004919439222268399,1,-0.0013738937,3,10,"(2, 16)"
75,Instant Runoff PUT,"(8, 8)",optimize,0.0004290778203156972,1,0.00075812754,3,10,"(2, 16)"
