,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
103,Minimax,"(8,)",optimize,0.00047391702868538173,1,-0.007004373,4,10,"(0, 0)"
122,Plurality,"(512,)",optimize,0.00048556591338835354,1,0.026340522,4,10,"(0, 0)"
120,Plurality,"(4,)",optimize,0.0004863098748964083,1,0.01844947,4,10,"(0, 0)"
118,Plurality,"(32,)",optimize,0.0004949065340188885,1,0.023151834,4,10,"(0, 0)"
114,Plurality,"(256,)",optimize,0.0004803821629327574,1,0.024884261,4,10,"(0, 0)"
110,Plurality,"(16,)",optimize,0.0004847738781594265,1,0.01842343,4,10,"(0, 0)"
107,Plurality,"(128,)",optimize,0.0004786393557096363,1,0.023664234,4,10,"(0, 0)"
100,Minimax,"(64,)",optimize,0.0004640619697862502,1,0.0025405306,4,10,"(0, 0)"
96,Minimax,"(512,)",optimize,0.0004901019769758821,1,0.0034372397,4,10,"(0, 0)"
94,Minimax,"(4,)",optimize,0.00048383883833361113,1,-0.00983752,4,10,"(0, 0)"
126,Plurality,"(64,)",optimize,0.00048504673812835856,1,0.026117047,4,10,"(0, 0)"
92,Minimax,"(32,)",optimize,0.00047629724396470254,1,0.0010399248,4,10,"(0, 0)"
84,Minimax,"(16,)",optimize,0.0004923035514473902,1,-0.006432483,4,10,"(0, 0)"
81,Minimax,"(128,)",optimize,0.0004885633357827778,1,-0.00025604098,4,10,"(0, 0)"
77,Instant Runoff PUT,"(8,)",optimize,0.0004844862683455465,1,0.003071006,4,10,"(0, 0)"
74,Instant Runoff PUT,"(64,)",optimize,0.00048773816804772264,1,0.0038323472,4,10,"(0, 0)"
70,Instant Runoff PUT,"(512,)",optimize,0.0004672675972554877,1,0.0048991544,4,10,"(0, 0)"
68,Instant Runoff PUT,"(4,)",optimize,0.0004857504204862361,1,0.0026605364,4,10,"(0, 0)"
66,Instant Runoff PUT,"(32,)",optimize,0.0004623713966952678,1,0.0034113857,4,10,"(0, 0)"
62,Instant Runoff PUT,"(256,)",optimize,0.000497322505431946,1,0.0048551545,4,10,"(0, 0)"
58,Instant Runoff PUT,"(16,)",optimize,0.0004959500857066291,1,0.0039556394,4,10,"(0, 0)"
88,Minimax,"(256,)",optimize,0.00046651244290937246,1,0.002869607,4,10,"(0, 0)"
129,Plurality,"(8,)",optimize,0.00048795185122334147,1,0.017716119,4,10,"(0, 0)"
133,Split Cycle,"(128,)",optimize,0.0004790428647471676,1,-0.0007855287,4,10,"(0, 0)"
136,Split Cycle,"(16,)",optimize,0.0004973500193376414,1,-0.005961927,4,10,"(0, 0)"
204,Strict Nanson,"(64,)",optimize,0.0004616382863932464,1,-0.00021720715,4,10,"(0, 0)"
200,Strict Nanson,"(512,)",optimize,0.00048742716987914354,1,0.0020554876,4,10,"(0, 0)"
198,Strict Nanson,"(4,)",optimize,0.0004839958099446474,1,-0.0070755454,4,10,"(0, 0)"
196,Strict Nanson,"(32,)",optimize,0.0004993034216012698,1,-0.0040986724,4,10,"(0, 0)"
192,Strict Nanson,"(256,)",optimize,0.0004974216802948175,1,0.00014222597,4,10,"(0, 0)"
188,Strict Nanson,"(16,)",optimize,0.0004729867839895087,1,-0.0073010153,4,10,"(0, 0)"
185,Strict Nanson,"(128,)",optimize,0.0004898057734592064,1,0.0007111176,4,10,"(0, 0)"
181,Stable Voting,"(8,)",optimize,0.0004936013496807818,1,0.0073468746,4,10,"(0, 0)"
178,Stable Voting,"(64,)",optimize,0.000479937474715184,1,0.009713383,4,10,"(0, 0)"
174,Stable Voting,"(512,)",optimize,0.0004973031984017934,1,0.012925351,4,10,"(0, 0)"
172,Stable Voting,"(4,)",optimize,0.0004982434920896843,1,-0.01685508,4,10,"(0, 0)"
170,Stable Voting,"(32,)",optimize,0.0004818541390490953,1,0.008309468,4,10,"(0, 0)"
166,Stable Voting,"(256,)",optimize,0.0004995056669882939,1,0.009761678,4,10,"(0, 0)"
162,Stable Voting,"(16,)",optimize,0.00048068778181620275,1,0.008825322,4,10,"(0, 0)"
159,Stable Voting,"(128,)",optimize,0.0004961955812968576,1,0.008252099,4,10,"(0, 0)"
155,Split Cycle,"(8,)",optimize,0.00046051883648964506,1,-0.007078135,4,10,"(0, 0)"
152,Split Cycle,"(64,)",optimize,0.0004549451443181015,1,0.0011155057,4,10,"(0, 0)"
148,Split Cycle,"(512,)",optimize,0.0004933052255948195,1,-4.172488e-05,4,10,"(0, 0)"
146,Split Cycle,"(4,)",optimize,0.00045898948094071085,1,-0.008697617,4,10,"(0, 0)"
144,Split Cycle,"(32,)",optimize,0.0004958721018365531,1,0.0007390953,4,10,"(0, 0)"
140,Split Cycle,"(256,)",optimize,0.00046222502591765493,1,-0.0004253749,4,10,"(0, 0)"
55,Instant Runoff PUT,"(128,)",optimize,0.0004370557967502047,1,0.005198317,4,10,"(0, 0)"
51,Instant Runoff,"(8,)",optimize,0.00047035244799177437,1,0.0033183512,4,10,"(0, 0)"
207,Strict Nanson,"(8,)",optimize,0.0004544770841679464,1,-0.0065512373,4,10,"(0, 0)"
14,Borda,"(32,)",optimize,0.0004962284592902413,1,0.023084195,4,10,"(0, 0)"
36,Instant Runoff,"(256,)",optimize,0.00047667045609194297,1,0.015456608,4,10,"(0, 0)"
16,Borda,"(4,)",optimize,0.0004961885787861971,1,-0.020469163,4,10,"(0, 0)"
42,Instant Runoff,"(4,)",optimize,0.000468597311783992,1,0.0009899928,4,10,"(0, 0)"
18,Borda,"(512,)",optimize,0.00048271182246079335,1,0.022675829,4,10,"(0, 0)"
6,Borda,"(16,)",optimize,0.0004858567827314799,1,0.020931872,4,10,"(0, 0)"
40,Instant Runoff,"(32,)",optimize,0.0004966110823606164,1,0.010411662,4,10,"(0, 0)"
32,Instant Runoff,"(16,)",optimize,0.00047657591111365243,1,0.012651268,4,10,"(0, 0)"
22,Borda,"(64,)",optimize,0.0004856716024551938,1,0.021030745,4,10,"(0, 0)"
44,Instant Runoff,"(512,)",optimize,0.00047989991911845376,1,0.015130367,4,10,"(0, 0)"
10,Borda,"(256,)",optimize,0.0004990459760701703,1,0.022832403,4,10,"(0, 0)"
29,Instant Runoff,"(128,)",optimize,0.0004862254115318348,1,0.01262832,4,10,"(0, 0)"
48,Instant Runoff,"(64,)",optimize,0.0004903143652231722,1,0.01425694,4,10,"(0, 0)"
25,Borda,"(8,)",optimize,0.0004907408204257097,1,0.014847927,4,10,"(0, 0)"
3,Borda,"(128,)",optimize,0.0004888806139699148,1,0.020175874,4,10,"(0, 0)"
171,Stable Voting,"(4, 4)",optimize,0.0004925289788869096,1,-0.01059488,4,10,"(2, 8)"
15,Borda,"(4, 4)",optimize,0.0004894917743034374,1,-0.0059888787,4,10,"(2, 8)"
41,Instant Runoff,"(4, 4)",optimize,0.0004773887842749861,1,-0.0002541721,4,10,"(2, 8)"
119,Plurality,"(4, 4)",optimize,0.00047027063299696415,1,0.01748557,4,10,"(2, 8)"
145,Split Cycle,"(4, 4)",optimize,0.00047096345382250266,1,-0.006472443,4,10,"(2, 8)"
93,Minimax,"(4, 4)",optimize,0.00045379855171086546,1,-0.008092902,4,10,"(2, 8)"
197,Strict Nanson,"(4, 4)",optimize,0.0004719583346656622,1,-0.008202145,4,10,"(2, 8)"
67,Instant Runoff PUT,"(4, 4)",optimize,0.0004779850587759537,1,0.002113251,4,10,"(2, 8)"
23,Borda,"(8, 8)",optimize,0.0004957332853104246,1,0.014819226,4,10,"(2, 16)"
153,Split Cycle,"(8, 8)",optimize,0.0004647124823854353,1,-0.0055176727,4,10,"(2, 16)"
101,Minimax,"(8, 8)",optimize,0.0004901405561719213,1,-0.0062979087,4,10,"(2, 16)"
127,Plurality,"(8, 8)",optimize,0.0004694457283667828,1,0.018956585,4,10,"(2, 16)"
49,Instant Runoff,"(8, 8)",optimize,0.00047818915805026484,1,0.0066209664,4,10,"(2, 16)"
75,Instant Runoff PUT,"(8, 8)",optimize,0.0004963740897915855,1,0.0032477991,4,10,"(2, 16)"
179,Stable Voting,"(8, 8)",optimize,0.0004992680345373406,1,0.0014125827,4,10,"(2, 16)"
205,Strict Nanson,"(8, 8)",optimize,0.0004623937230725097,1,-0.0051961252,4,10,"(2, 16)"
161,Stable Voting,"(16, 8)",optimize,0.0004982666959983754,1,0.005908944,4,10,"(2, 24)"
187,Strict Nanson,"(16, 8)",optimize,0.000469146872684207,1,-0.0039651375,4,10,"(2, 24)"
57,Instant Runoff PUT,"(16, 8)",optimize,0.000488848805204353,1,0.003708078,4,10,"(2, 24)"
109,Plurality,"(16, 8)",optimize,0.0004941516150131603,1,0.018216744,4,10,"(2, 24)"
5,Borda,"(16, 8)",optimize,0.000498377281762757,1,0.01854485,4,10,"(2, 24)"
135,Split Cycle,"(16, 8)",optimize,0.000486840404884761,1,-0.0067169406,4,10,"(2, 24)"
83,Minimax,"(16, 8)",optimize,0.0004717503137840045,1,-0.007517636,4,10,"(2, 24)"
31,Instant Runoff,"(16, 8)",optimize,0.0004895282436816232,1,0.005815328,4,10,"(2, 24)"
134,Split Cycle,"(16, 16)",optimize,0.00048289641704221437,1,-0.004644771,4,10,"(2, 32)"
160,Stable Voting,"(16, 16)",optimize,0.00048699266424226086,1,0.009370492,4,10,"(2, 32)"
108,Plurality,"(16, 16)",optimize,0.00047961818076224167,1,0.020192264,4,10,"(2, 32)"
82,Minimax,"(16, 16)",optimize,0.000494402816808464,1,-0.005951536,4,10,"(2, 32)"
30,Instant Runoff,"(16, 16)",optimize,0.0004886680273213429,1,0.0057616374,4,10,"(2, 32)"
186,Strict Nanson,"(16, 16)",optimize,0.00047720504620869775,1,-0.003220645,4,10,"(2, 32)"
4,Borda,"(16, 16)",optimize,0.0004906555626606753,1,0.019032279,4,10,"(2, 32)"
56,Instant Runoff PUT,"(16, 16)",optimize,0.000420697226016498,1,0.0048288745,4,10,"(2, 32)"
194,Strict Nanson,"(32, 32)",optimize,0.0004587896893604351,1,-0.0020725923,4,10,"(2, 64)"
64,Instant Runoff PUT,"(32, 32)",optimize,0.000435239969832538,1,0.0046725855,4,10,"(2, 64)"
90,Minimax,"(32, 32)",optimize,0.0004990812448797508,1,0.00041658944,4,10,"(2, 64)"
116,Plurality,"(32, 32)",optimize,0.0004943422219171033,1,0.021832364,4,10,"(2, 64)"
168,Stable Voting,"(32, 32)",optimize,0.0004891681940156609,1,0.008637055,4,10,"(2, 64)"
38,Instant Runoff,"(32, 32)",optimize,0.00047924667533910556,1,0.011494623,4,10,"(2, 64)"
12,Borda,"(32, 32)",optimize,0.000491991478218805,1,0.019737981,4,10,"(2, 64)"
142,Split Cycle,"(32, 32)",optimize,0.00044594712066925625,1,-0.0030209655,4,10,"(2, 64)"
201,Strict Nanson,"(64, 32)",optimize,0.00047292070614522925,1,-0.0001828546,4,10,"(2, 96)"
45,Instant Runoff,"(64, 32)",optimize,0.0004883567576397033,1,0.013721526,4,10,"(2, 96)"
