,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004441153422783,1,0.005805758,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004682683816585,1,0.0021532015,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004764595237304,1,0.0029009301,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004891344158405,1,0.0077909585,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004878582625395,1,0.0011666031,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004955112941606,1,-0.0026111084,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004678359724661,1,0.0016816619,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004720706290039,1,0.005723001,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004922917326195,1,0.007841014,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004952753016565,1,0.0075594103,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004860177685704,1,0.0009504052,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004773313556193,1,0.0009154154,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004720706290039,1,0.005723001,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004564335238604,1,0.0022101526,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004893600405645,1,0.0072808615,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004853333496299,1,0.006572734,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004785883299473,1,0.027405385,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004785359516168,1,0.028230336,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004667534560746,1,0.004771627,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004837384371858,1,0.0063784905,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004724564542573,1,0.022681838,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004975725457405,1,-0.00046271394,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004836507363605,1,0.0007771645,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004891344158405,1,0.0077909585,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004837384371858,1,0.0063784905,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004564335238604,1,0.0022101526,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0004369817659407,1,-0.00013285011,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004893600405645,1,0.0072808615,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.000440745655309,1,0.0033422732,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004853333496299,1,0.006572734,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0004667534560746,1,0.004771627,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004864775881449,1,0.0068123783,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004359538691601,1,0.0034557795,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004298738113011,1,-0.0011440798,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004977428803693,1,0.00238432,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004718228393327,1,0.0058816075,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.00048902019529,1,0.0024583056,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004769704536197,1,0.007123059,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004890286982871,1,0.0055137696,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.000464201623057,1,0.0026394913,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004452806639845,1,0.0038606548,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004670580023978,1,0.0075614476,3,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.000481706144944,1,0.028871596,3,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004676665008313,1,0.0011364623,3,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.000498200684463,1,0.019112593,3,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004723948623168,1,0.022425747,3,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004861988460116,1,0.025057606,3,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004728943001935,1,0.021505471,3,10,"(0, 0)"
