,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004619659321777,1,-0.0025915832,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004779474010936,1,0.011825949,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004417085916794,1,0.0070476667,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004586606200786,1,-0.0013726329,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004780586835167,1,0.018895868,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.000460116917908,1,-0.0023576512,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004963241654173,1,0.007184182,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004530341514076,1,-0.0019252775,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004508115928885,1,-0.0010771801,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004599120500949,1,0.018190514,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004975911116522,1,0.017679844,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004662397477149,1,0.00043125093,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004530341514076,1,-0.0019252775,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004752183188764,1,-0.0062304228,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004596563496692,1,-0.0022058173,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0003720234083008,1,-0.0014819878,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004921646101614,1,0.011250102,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004937214235322,1,0.013025555,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.000473535044043,1,-0.00268928,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004085228534677,1,-0.002475523,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004923822414123,1,0.008488167,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004864707115908,1,0.0016406017,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.000447335165555,1,0.0064909416,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004586606200786,1,-0.0013726329,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004085228534677,1,-0.002475523,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004752183188764,1,-0.0062304228,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.000330693181864,1,-0.0013631652,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004596563496692,1,-0.0022058173,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004000278791746,1,-0.002114264,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0003720234083008,1,-0.0014819878,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.000473535044043,1,-0.00268928,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.000468127123941,1,0.017977122,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004293914982395,1,-0.002894815,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004607044939796,1,-0.008855477,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0003574986391026,1,-0.0018338726,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004909801179469,1,0.010033934,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004599556200083,1,-0.001953527,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004621197166537,1,0.019733947,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004870538818053,1,0.01776599,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.00045448783045,1,-0.0016888382,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004196823772714,1,-0.0013516549,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004677851072378,1,0.020158753,3,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.0004800299292401,1,0.013427558,3,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004708557754288,1,0.012408043,3,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004982454632632,1,0.0040648566,3,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004923936436353,1,0.008458774,3,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004884600197833,1,0.010360817,3,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004888500452009,1,0.006999581,3,10,"(0, 0)"
22,Blacks,"(64,)",optimize,0.0004823248090313,1,0.010959313,3,10,"(0, 0)"
18,Blacks,"(512,)",optimize,0.0004927333556742,1,0.010819439,3,10,"(0, 0)"
214,Strict Nanson,"(16,)",optimize,0.000473043916151,1,-0.0008640005,3,10,"(0, 0)"
16,Blacks,"(4,)",optimize,0.0004924794797483,1,-0.006820555,3,10,"(0, 0)"
200,Stable Voting,"(512,)",optimize,0.0004992553634193,1,0.008623572,3,10,"(0, 0)"
14,Blacks,"(32,)",optimize,0.0004862877544562,1,0.010396809,3,10,"(0, 0)"
222,Strict Nanson,"(32,)",optimize,0.0003974630076208,1,-0.0010077885,3,10,"(0, 0)"
10,Blacks,"(256,)",optimize,0.0004935596521532,1,0.0105568925,3,10,"(0, 0)"
224,Strict Nanson,"(4,)",optimize,0.0004773710473298,1,-0.005717158,3,10,"(0, 0)"
226,Strict Nanson,"(512,)",optimize,0.0004757017660366,1,-0.002327278,3,10,"(0, 0)"
6,Blacks,"(16,)",optimize,0.0004838912208826,1,0.0090939915,3,10,"(0, 0)"
3,Blacks,"(128,)",optimize,0.0004775327970093,1,0.010301607,3,10,"(0, 0)"
230,Strict Nanson,"(64,)",optimize,0.0003602256135826,1,-0.00184638,3,10,"(0, 0)"
218,Strict Nanson,"(256,)",optimize,0.000423174546356,1,-0.0011754639,3,10,"(0, 0)"
29,Borda,"(128,)",optimize,0.0004893504494916,1,0.012308806,3,10,"(0, 0)"
211,Strict Nanson,"(128,)",optimize,0.0003648334693291,1,-0.0012966342,3,10,"(0, 0)"
114,Minimax,"(256,)",optimize,0.0004508115928885,1,-0.0010771801,3,10,"(0, 0)"
40,Borda,"(32,)",optimize,0.0004780378068396,1,0.012394462,3,10,"(0, 0)"
32,Borda,"(16,)",optimize,0.0004972443897397,1,0.012937028,3,10,"(0, 0)"
188,Stable Voting,"(16,)",optimize,0.0004795946606347,1,0.0061770696,3,10,"(0, 0)"
192,Stable Voting,"(256,)",optimize,0.0004987881240794,1,0.00841379,3,10,"(0, 0)"
198,Stable Voting,"(4,)",optimize,0.0004985666439065,1,-0.002920478,3,10,"(0, 0)"
36,Borda,"(256,)",optimize,0.0004926499647363,1,0.013560158,3,10,"(0, 0)"
196,Stable Voting,"(32,)",optimize,0.0004989889117154,1,0.008023734,3,10,"(0, 0)"
119,Minimax,"(4, 4)",optimize,0.0004388813096046,1,-0.0029068252,3,10,"(2, 8)"
41,Borda,"(4, 4)",optimize,0.0004841699191751,1,0.01272902,3,10,"(2, 8)"
223,Strict Nanson,"(4, 4)",optimize,0.0004472318440582,1,-0.0031226354,3,10,"(2, 8)"
93,Instant Runoff PUT,"(4, 4)",optimize,0.0003694422710508,1,-0.0022847166,3,10,"(2, 8)"
197,Stable Voting,"(4, 4)",optimize,0.0004973376714461,1,0.0073372107,3,10,"(2, 8)"
145,Plurality,"(4, 4)",optimize,0.0004676891805015,1,0.007567781,3,10,"(2, 8)"
15,Blacks,"(4, 4)",optimize,0.0004817378323117,1,0.009696714,3,10,"(2, 8)"
67,Instant Runoff,"(4, 4)",optimize,0.0004565374051684,1,0.00022112593,3,10,"(2, 8)"
171,Split Cycle,"(4, 4)",optimize,0.0004388813096046,1,-0.0029068252,3,10,"(2, 8)"
179,Split Cycle,"(8, 8)",optimize,0.0004980975590157,1,-0.00058398675,3,10,"(2, 16)"
231,Strict Nanson,"(8, 8)",optimize,0.0003994742207105,1,-0.0010463449,3,10,"(2, 16)"
101,Instant Runoff PUT,"(8, 8)",optimize,0.0004204416988212,1,-0.0005630192,3,10,"(2, 16)"
75,Instant Runoff,"(8, 8)",optimize,0.0004647880480018,1,-2.381093e-05,3,10,"(2, 16)"
127,Minimax,"(8, 8)",optimize,0.0004980975590157,1,-0.00058398675,3,10,"(2, 16)"
23,Blacks,"(8, 8)",optimize,0.0004983741767267,1,0.009442449,3,10,"(2, 16)"
49,Borda,"(8, 8)",optimize,0.0004805697996581,1,0.012145854,3,10,"(2, 16)"
205,Stable Voting,"(8, 8)",optimize,0.0004778947559092,1,0.006222106,3,10,"(2, 16)"
153,Plurality,"(8, 8)",optimize,0.0004458923351354,1,0.0084069185,3,10,"(2, 16)"
109,Minimax,"(16, 8)",optimize,0.0003972300353655,1,-0.00031516445,3,10,"(2, 24)"
161,Split Cycle,"(16, 8)",optimize,0.0003972300353655,1,-0.00031516445,3,10,"(2, 24)"
5,Blacks,"(16, 8)",optimize,0.0004970855643345,1,0.009492887,3,10,"(2, 24)"
213,Strict Nanson,"(16, 8)",optimize,0.0004271388355924,1,-0.00019974368,3,10,"(2, 24)"
83,Instant Runoff PUT,"(16, 8)",optimize,0.0004915368476871,1,-0.0007488564,3,10,"(2, 24)"
187,Stable Voting,"(16, 8)",optimize,0.0004802829712444,1,0.007247259,3,10,"(2, 24)"
57,Instant Runoff,"(16, 8)",optimize,0.0004854800547555,1,0.0008692178,3,10,"(2, 24)"
31,Borda,"(16, 8)",optimize,0.0004978720281366,1,0.011133757,3,10,"(2, 24)"
135,Plurality,"(16, 8)",optimize,0.0004452826045199,1,0.010779344,3,10,"(2, 24)"
30,Borda,"(16, 16)",optimize,0.0004969620330827,1,0.011566694,3,10,"(2, 32)"
160,Split Cycle,"(16, 16)",optimize,0.0004833306408409,1,-0.0008592714,3,10,"(2, 32)"
4,Blacks,"(16, 16)",optimize,0.0004954915976049,1,0.009898121,3,10,"(2, 32)"
82,Instant Runoff PUT,"(16, 16)",optimize,0.0002276092475566,1,-0.00068139494,3,10,"(2, 32)"
186,Stable Voting,"(16, 16)",optimize,0.0004790494527816,1,0.007865675,3,10,"(2, 32)"
56,Instant Runoff,"(16, 16)",optimize,0.0004944329294951,1,0.0013364076,3,10,"(2, 32)"
108,Minimax,"(16, 16)",optimize,0.0004833306408409,1,-0.0008592714,3,10,"(2, 32)"
212,Strict Nanson,"(16, 16)",optimize,0.0004926277879489,1,-0.00095905416,3,10,"(2, 32)"
134,Plurality,"(16, 16)",optimize,0.000469076242216,1,0.019288445,3,10,"(2, 32)"
142,Plurality,"(32, 32)",optimize,0.0004614232055256,1,0.019554926,3,10,"(2, 64)"
220,Strict Nanson,"(32, 32)",optimize,0.000404295737596,1,-0.0006977933,3,10,"(2, 64)"
168,Split Cycle,"(32, 32)",optimize,0.0004043468118528,1,-0.0011563974,3,10,"(2, 64)"
194,Stable Voting,"(32, 32)",optimize,0.0004774501476955,1,0.008322843,3,10,"(2, 64)"
116,Minimax,"(32, 32)",optimize,0.0004043468118528,1,-0.0011563974,3,10,"(2, 64)"
90,Instant Runoff PUT,"(32, 32)",optimize,0.0004405274738154,1,-0.0021351387,3,10,"(2, 64)"
64,Instant Runoff,"(32, 32)",optimize,0.0004798939402345,1,0.015305023,3,10,"(2, 64)"
38,Borda,"(32, 32)",optimize,0.0004881205412695,1,0.012695235,3,10,"(2, 64)"
12,Blacks,"(32, 32)",optimize,0.0004890920923014,1,0.011244238,3,10,"(2, 64)"
149,Plurality,"(64, 32)",optimize,0.0004780205108752,1,0.020785373,3,10,"(2, 96)"
227,Strict Nanson,"(64, 32)",optimize,0.0003893895203946,1,-0.0010188546,3,10,"(2, 96)"
175,Split Cycle,"(64, 32)",optimize,0.0003955520150756,1,-0.0010156434,3,10,"(2, 96)"
45,Borda,"(64, 32)",optimize,0.0004804264684853,1,0.013388033,3,10,"(2, 96)"
