,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004499989454148,1,-0.000668417,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004884825712619,1,0.010382505,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004891417092504,1,0.01401977,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004863126000262,1,0.0021864253,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.000495782882712,1,0.008870905,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004474748670595,1,-0.00037924663,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004859189220678,1,0.012158886,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0003466719147411,1,-0.0010994314,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004681198318437,1,0.0020227607,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004976034768617,1,0.01925871,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.000476519890852,1,0.0077181673,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004608712222723,1,0.003685293,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0003466719147411,1,-0.0010994314,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004001743029056,1,-0.0020103469,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004920841907277,1,0.0024131695,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004411576142397,1,0.0018105777,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004958479409433,1,0.016567029,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004823497713705,1,0.017826963,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004042863853413,1,-0.0009036048,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004171360298248,1,0.0014910578,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004801313019917,1,0.012121458,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004553351065573,1,0.0038334131,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004375788905753,1,0.0061984626,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004863126000262,1,0.0021864253,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004171360298248,1,0.0014910578,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004001743029056,1,-0.0020103469,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0003513154230561,1,0.0022294233,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004920841907277,1,0.0024131695,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.000439843439313,1,0.0016377452,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004411576142397,1,0.0018105777,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0004042863853413,1,-0.0009036048,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004689446109713,1,0.019955445,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004173860856929,1,0.0033558419,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004376926109092,1,-8.395218e-05,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0003605207321329,1,0.0024596835,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004896463719203,1,0.017305067,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004046414331034,1,0.0029461225,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004675088124074,1,0.019806342,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.000472792177911,1,0.01395784,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.0003377172601644,1,0.0017540518,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0003807475151085,1,0.0020275093,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004623568193378,1,0.01890899,3,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.0004724621787624,1,0.019394435,3,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.000489792458444,1,0.009379176,3,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004828149328145,1,0.014155325,3,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004943585360807,1,0.012036532,3,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004778984367845,1,0.014458971,3,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004795014419175,1,0.01223774,3,10,"(0, 0)"
22,Blacks,"(64,)",optimize,0.0004898358867122,1,0.016244378,3,10,"(0, 0)"
18,Blacks,"(512,)",optimize,0.0004694476090174,1,0.016712995,3,10,"(0, 0)"
214,Strict Nanson,"(16,)",optimize,0.000455176307805,1,-0.0015749541,3,10,"(0, 0)"
16,Blacks,"(4,)",optimize,0.0004835331140753,1,0.012844932,3,10,"(0, 0)"
200,Stable Voting,"(512,)",optimize,0.0004763358916254,1,0.012565797,3,10,"(0, 0)"
14,Blacks,"(32,)",optimize,0.0004908930262543,1,0.015676085,3,10,"(0, 0)"
222,Strict Nanson,"(32,)",optimize,0.0004503359807576,1,0.0011190494,3,10,"(0, 0)"
10,Blacks,"(256,)",optimize,0.0004989790821483,1,0.018796159,3,10,"(0, 0)"
224,Strict Nanson,"(4,)",optimize,0.000485644364297,1,-0.0013513785,3,10,"(0, 0)"
226,Strict Nanson,"(512,)",optimize,0.0004523169732647,1,0.000510711,3,10,"(0, 0)"
6,Blacks,"(16,)",optimize,0.0004977894995218,1,0.01574387,3,10,"(0, 0)"
3,Blacks,"(128,)",optimize,0.0004853081741309,1,0.014448846,3,10,"(0, 0)"
230,Strict Nanson,"(64,)",optimize,0.0004916852236625,1,-3.3406075e-05,3,10,"(0, 0)"
218,Strict Nanson,"(256,)",optimize,0.0004257822850881,1,0.0015915916,3,10,"(0, 0)"
29,Borda,"(128,)",optimize,0.0004825561570694,1,0.016825803,3,10,"(0, 0)"
211,Strict Nanson,"(128,)",optimize,0.0004715609924197,1,0.0011911996,3,10,"(0, 0)"
114,Minimax,"(256,)",optimize,0.0004681198318437,1,0.0020227607,3,10,"(0, 0)"
40,Borda,"(32,)",optimize,0.000482923980158,1,0.017474512,3,10,"(0, 0)"
32,Borda,"(16,)",optimize,0.0004989257633734,1,0.016455743,3,10,"(0, 0)"
188,Stable Voting,"(16,)",optimize,0.0004601875672268,1,0.0128258355,3,10,"(0, 0)"
192,Stable Voting,"(256,)",optimize,0.000496553626777,1,0.010693632,3,10,"(0, 0)"
198,Stable Voting,"(4,)",optimize,0.0004769148527289,1,0.0083123995,3,10,"(0, 0)"
36,Borda,"(256,)",optimize,0.0004737272951219,1,0.018005079,3,10,"(0, 0)"
196,Stable Voting,"(32,)",optimize,0.0004713073407361,1,0.012583,3,10,"(0, 0)"
119,Minimax,"(4, 4)",optimize,0.0004959648439957,1,-0.0026455764,3,10,"(2, 8)"
41,Borda,"(4, 4)",optimize,0.0004868463106622,1,0.0046241907,3,10,"(2, 8)"
223,Strict Nanson,"(4, 4)",optimize,0.0004614111133103,1,-0.0025243522,3,10,"(2, 8)"
93,Instant Runoff PUT,"(4, 4)",optimize,0.0004441147843649,1,-0.0004436215,3,10,"(2, 8)"
197,Stable Voting,"(4, 4)",optimize,0.0004839994152757,1,-0.0026629185,3,10,"(2, 8)"
145,Plurality,"(4, 4)",optimize,0.0004960751740706,1,0.010390187,3,10,"(2, 8)"
15,Blacks,"(4, 4)",optimize,0.0004820517646548,1,0.002720232,3,10,"(2, 8)"
67,Instant Runoff,"(4, 4)",optimize,0.0004937601295415,1,0.0046519316,3,10,"(2, 8)"
171,Split Cycle,"(4, 4)",optimize,0.0004959648439957,1,-0.0026455764,3,10,"(2, 8)"
179,Split Cycle,"(8, 8)",optimize,0.000389021320123,1,-0.0014525084,3,10,"(2, 16)"
231,Strict Nanson,"(8, 8)",optimize,0.0004455508471119,1,-0.00059540145,3,10,"(2, 16)"
101,Instant Runoff PUT,"(8, 8)",optimize,0.0004819065534831,1,0.0020130887,3,10,"(2, 16)"
75,Instant Runoff,"(8, 8)",optimize,0.0004720798361665,1,0.0027535625,3,10,"(2, 16)"
127,Minimax,"(8, 8)",optimize,0.000389021320123,1,-0.0014525084,3,10,"(2, 16)"
23,Blacks,"(8, 8)",optimize,0.000485156400498,1,0.016882049,3,10,"(2, 16)"
49,Borda,"(8, 8)",optimize,0.0004888887088309,1,0.017241333,3,10,"(2, 16)"
205,Stable Voting,"(8, 8)",optimize,0.0004708475860165,1,0.011129535,3,10,"(2, 16)"
153,Plurality,"(8, 8)",optimize,0.0004735029542334,1,0.013579624,3,10,"(2, 16)"
109,Minimax,"(16, 8)",optimize,0.0003652917759181,1,-0.0008194569,3,10,"(2, 24)"
161,Split Cycle,"(16, 8)",optimize,0.0003652917759181,1,-0.0008194569,3,10,"(2, 24)"
5,Blacks,"(16, 8)",optimize,0.0004911464687862,1,0.015285654,3,10,"(2, 24)"
213,Strict Nanson,"(16, 8)",optimize,0.0004895468961425,1,-0.0004801812,3,10,"(2, 24)"
83,Instant Runoff PUT,"(16, 8)",optimize,0.0003685734342631,1,0.0020295538,3,10,"(2, 24)"
187,Stable Voting,"(16, 8)",optimize,0.0004615434231985,1,0.012569812,3,10,"(2, 24)"
57,Instant Runoff,"(16, 8)",optimize,0.0004978301473687,1,0.0029242372,3,10,"(2, 24)"
31,Borda,"(16, 8)",optimize,0.000484875008621,1,0.019120531,3,10,"(2, 24)"
135,Plurality,"(16, 8)",optimize,0.0004745793981251,1,0.013328662,3,10,"(2, 24)"
30,Borda,"(16, 16)",optimize,0.0004745833519439,1,0.016139789,3,10,"(2, 32)"
160,Split Cycle,"(16, 16)",optimize,0.0004012717695392,1,-0.0018270849,3,10,"(2, 32)"
4,Blacks,"(16, 16)",optimize,0.0004787666580003,1,0.01595627,3,10,"(2, 32)"
82,Instant Runoff PUT,"(16, 16)",optimize,0.000471708939669,1,0.0023021372,3,10,"(2, 32)"
186,Stable Voting,"(16, 16)",optimize,0.0004940739220514,1,0.011525358,3,10,"(2, 32)"
56,Instant Runoff,"(16, 16)",optimize,0.0004501301534165,1,0.003471801,3,10,"(2, 32)"
108,Minimax,"(16, 16)",optimize,0.0004012717695392,1,-0.0018270849,3,10,"(2, 32)"
212,Strict Nanson,"(16, 16)",optimize,0.0004974700866804,1,-0.0015245434,3,10,"(2, 32)"
134,Plurality,"(16, 16)",optimize,0.0004752937976306,1,0.013796161,3,10,"(2, 32)"
142,Plurality,"(32, 32)",optimize,0.0004698865505993,1,0.016633525,3,10,"(2, 64)"
220,Strict Nanson,"(32, 32)",optimize,0.0004544185335306,1,0.00082045776,3,10,"(2, 64)"
168,Split Cycle,"(32, 32)",optimize,0.0004580829129112,1,0.0019074609,3,10,"(2, 64)"
194,Stable Voting,"(32, 32)",optimize,0.000482803252654,1,0.012943246,3,10,"(2, 64)"
116,Minimax,"(32, 32)",optimize,0.0004580829129112,1,0.0019074609,3,10,"(2, 64)"
90,Instant Runoff PUT,"(32, 32)",optimize,0.0003782102111945,1,0.0018727903,3,10,"(2, 64)"
64,Instant Runoff,"(32, 32)",optimize,0.0004711162379607,1,0.00937022,3,10,"(2, 64)"
38,Borda,"(32, 32)",optimize,0.0004750754610583,1,0.01794083,3,10,"(2, 64)"
12,Blacks,"(32, 32)",optimize,0.0004732618401931,1,0.015788753,3,10,"(2, 64)"
149,Plurality,"(64, 32)",optimize,0.0004879680795135,1,0.0147953285,3,10,"(2, 96)"
227,Strict Nanson,"(64, 32)",optimize,0.0004995813386311,1,0.002462366,3,10,"(2, 96)"
175,Split Cycle,"(64, 32)",optimize,0.0004649122690831,1,0.0019053869,3,10,"(2, 96)"
45,Borda,"(64, 32)",optimize,0.0004758263575629,1,0.018440973,3,10,"(2, 96)"
97,Instant Runoff PUT,"(64, 32)",optimize,0.000385267659916,1,0.0030913646,3,10,"(2, 96)"
123,Minimax,"(64, 32)",optimize,0.0004649122690831,1,0.0019053869,3,10,"(2, 96)"
71,Instant Runoff,"(64, 32)",optimize,0.0004877804904525,1,0.006962797,3,10,"(2, 96)"
201,Stable Voting,"(64, 32)",optimize,0.0004893007239659,1,0.013004214,3,10,"(2, 96)"
19,Blacks,"(64, 32)",optimize,0.0004736390115604,1,0.016339973,3,10,"(2, 96)"
124,Minimax,"(64, 64)",optimize,0.0004908911936699,1,0.0023303756,3,10,"(2, 128)"
72,Instant Runoff,"(64, 64)",optimize,0.0004834456211502,1,0.00974679,3,10,"(2, 128)"
150,Plurality,"(64, 64)",optimize,0.0004940137302918,1,0.016818995,3,10,"(2, 128)"
20,Blacks,"(64, 64)",optimize,0.0004811427095394,1,0.017891986,3,10,"(2, 128)"
