,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004908765020283,1,-0.010694331,6,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004815642961851,1,-0.002813472,6,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004968084041442,1,0.010618503,6,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004777506031342,1,-0.0020999587,6,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004889220534754,1,-0.00469823,6,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.000491414282942,1,-0.017610453,6,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004902698832258,1,-0.0012896236,6,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004622259610747,1,-0.007654011,6,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004971912898907,1,-0.0055339662,6,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004876450138048,1,0.0125216255,6,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004976333022463,1,-0.0064116055,6,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.000484654720819,1,-0.0014575226,6,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004781023330133,1,-0.0048483433,6,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004836213240679,1,-0.024752973,6,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.000473896621297,1,-0.005963231,6,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004810929978938,1,-0.0038242023,6,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004897211938522,1,0.011312981,6,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004918152997377,1,0.05226134,6,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004739177593624,1,-0.010859375,6,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004689600599414,1,-0.0033611686,6,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004926603719267,1,-0.0010716781,6,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004807011840611,1,-0.0013714604,6,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004910261480573,1,-0.015313615,6,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.000474201540685,1,-0.0028337662,6,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004995159225391,1,-0.0052897325,6,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004799432409031,1,-0.026193803,6,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0004996298395759,1,-0.005409469,6,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004528440614707,1,-0.004281239,6,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004710090672843,1,-0.0035016718,6,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004686366369374,1,-0.0020697557,6,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0004751609810533,1,-0.009035577,6,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004978957252434,1,0.012710306,6,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004635263259407,1,-0.005553249,6,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004827476365024,1,-0.020324657,6,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004713841197615,1,-0.005050538,6,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004903354009252,1,0.011231528,6,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004569752274894,1,-0.0062592006,6,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004965463143284,1,0.013351932,6,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.000497884151702,1,0.013370359,6,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.0004743253917511,1,-0.0039727846,6,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004828007985507,1,-0.0045873085,6,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004938712433825,1,0.01323112,6,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.0004936451833306,1,0.03683733,6,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004993786862966,1,-0.0035206415,6,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004968405325763,1,-0.036208,6,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004906608516756,1,0.00579277,6,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004959269680532,1,0.015883919,6,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004934462393145,1,-0.008140254,6,10,"(0, 0)"
22,Blacks,"(64,)",optimize,0.000498311856124,1,0.043786377,6,10,"(0, 0)"
18,Blacks,"(512,)",optimize,0.0004997878037388,1,0.035296198,6,10,"(0, 0)"
214,Strict Nanson,"(16,)",optimize,0.0004833506995214,1,-0.0042334315,6,10,"(0, 0)"
16,Blacks,"(4,)",optimize,0.000494225385347,1,-0.033561133,6,10,"(0, 0)"
200,Stable Voting,"(512,)",optimize,0.000489579488187,1,-0.0040422706,6,10,"(0, 0)"
14,Blacks,"(32,)",optimize,0.0004920962032791,1,0.043923963,6,10,"(0, 0)"
222,Strict Nanson,"(32,)",optimize,0.0004908630888159,1,-0.002593009,6,10,"(0, 0)"
10,Blacks,"(256,)",optimize,0.0004929041557022,1,0.040376395,6,10,"(0, 0)"
224,Strict Nanson,"(4,)",optimize,0.0004853655530144,1,-0.024877792,6,10,"(0, 0)"
226,Strict Nanson,"(512,)",optimize,0.0004971921354942,1,-0.0050326413,6,10,"(0, 0)"
