,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004932160074937,1,-0.012753783,6,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004665106912971,1,-0.005948383,6,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004813991512365,1,0.022907631,6,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004786072851903,1,-0.010129115,6,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004951335822656,1,-0.005982681,6,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004927866192778,1,-0.03044644,6,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004945115242713,1,-0.0066793687,6,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.000494297960941,1,-0.010801358,6,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.000470375540915,1,-0.007388289,6,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004996952003967,1,0.025134807,6,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004719739119619,1,-0.007037806,6,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004939646061148,1,-0.008117335,6,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004588051004364,1,-0.009864566,6,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004865735985066,1,-0.032341886,6,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004909224516855,1,-0.009398614,6,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004543411964735,1,-0.008174631,6,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004968834888759,1,-0.019140642,6,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004935262302649,1,0.00798954,6,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004676943236308,1,-0.010991524,6,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004595657361086,1,-0.010214114,6,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004945264827795,1,-0.006382364,6,10,"(0, 0)"
