,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0003235564460281,1,0.000712389,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004984850780631,1,0.0006734195,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004974634050786,1,0.00082937285,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0003427067157769,1,0.0007507487,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004998962016326,1,0.0021325748,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004921280313518,1,-0.0018459681,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004929220522671,1,0.0009855364,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0003024163745771,1,0.00080015115,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0003498074723386,1,0.0011794493,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004757079575575,1,0.002774706,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004857266497254,1,0.0011807692,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004902305765982,1,0.00013718591,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0003024163745771,1,0.00080015115,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0003853905736244,1,-0.0011595516,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0003442664832666,1,0.0008769621,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0002941345505233,1,0.00090315106,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004651377979462,1,0.019319547,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004935615061794,1,0.019937003,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0003610738358233,1,0.0003384712,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0003257584337868,1,0.0005595698,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004878348278645,1,0.013161928,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004671043712179,1,-0.00029236107,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004691498191574,1,0.00050226646,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0003427067157769,1,0.0007507487,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0003257584337868,1,0.0005595698,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0003853905736244,1,-0.0011595516,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0004339247694956,1,0.0014844293,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0003442664832666,1,0.0008769621,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.00049800051809,1,0.0021820657,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0002941345505233,1,0.00090315106,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0003610738358233,1,0.0003384712,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004689635897835,1,0.0031518266,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004137054139818,1,0.0026984494,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004565426290191,1,0.0006083691,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004870986110638,1,0.0024195805,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004865752445849,1,0.0017023726,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004792771669378,1,0.0034592827,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.000467760858382,1,0.0030662583,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004712412566852,1,0.0026093074,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.0004116582555063,1,0.0020712586,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004781967431901,1,0.0029312759,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004710333591882,1,0.002388881,3,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.000465778266444,1,0.019977944,3,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004873262666712,1,0.0010178512,3,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004752373837394,1,0.012194506,3,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004835487228544,1,0.013455445,3,10,"(0, 0)"
