,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0003738239249844,1,-0.0010090037,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004402781771683,1,0.0008979445,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004317376083782,1,0.0051575243,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0003393863524159,1,-0.00045486217,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004735137442329,1,0.007232069,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004819263514354,1,-0.00034277036,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004426487372823,1,-0.0005595474,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0003060099852705,1,-0.0005552829,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0003344173784686,1,-0.0003948617,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004620815159691,1,0.011729418,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004650506298245,1,0.006841305,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004691594742752,1,-0.000965161,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0003060099852705,1,-0.0005552829,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.000423176398106,1,-0.0015267346,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.000439296363752,1,-0.0014728857,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004779856840652,1,-0.002048735,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004685717086894,1,0.008253526,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004768469973592,1,0.007895437,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0003741182108819,1,-0.001029524,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0003733533584143,1,-0.0026031593,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004684314376167,1,0.0022356412,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004329314597139,1,-0.0017861987,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004990530484953,1,0.004530929,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0003393863524159,1,-0.00045486217,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0003733533584143,1,-0.0026031593,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.000423176398106,1,-0.0015267346,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0002656736108092,1,-0.0006142393,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.000439296363752,1,-0.0014728857,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004331965194839,1,-0.0016373785,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004779856840652,1,-0.002048735,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0003741182108819,1,-0.001029524,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.000495084930467,1,0.01008586,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.000368768157632,1,-0.00076278055,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004024651227993,1,-0.0013422756,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004564458519295,1,-0.0018472365,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004265059519166,1,0.004933923,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0003919139108807,1,-0.0010922793,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004935083472541,1,0.009755997,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004918568793651,1,0.010754926,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.000420456100815,1,-0.0018070362,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.000315047558703,1,-0.00072686234,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004969031930883,1,0.010621004,3,10,"(0, 0)"
