,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0003323941851598,1,-0.00080997456,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0003700004203106,1,0.0003400123,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004482305973706,1,0.0054955073,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004152990410679,1,-0.0009454307,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004596590884509,1,0.0052287555,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004909155360293,1,-0.0015263655,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004305100638216,1,5.4869128e-05,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004928056701332,1,-0.0023211956,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0003507103481643,1,-0.0009058118,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004582452959225,1,0.011415387,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004657511910958,1,0.0055800485,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004837316439996,1,-0.00068497733,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004928056701332,1,-0.0023211956,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0003776930092213,1,-0.0009106223,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0003516524567617,1,-0.0020377864,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0003126727313172,1,-0.00016178098,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004926520761149,1,0.00921243,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004966797535725,1,0.009271803,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0003326562752879,1,-0.00082337693,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004152186525005,1,-0.003121005,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004646668690813,1,0.0030164511,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004408772586256,1,0.00013621368,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004559054793519,1,0.005881399,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004152990410679,1,-0.0009454307,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004152186525005,1,-0.003121005,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0003776930092213,1,-0.0009106223,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0003963519291628,1,-0.0028141756,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0003516524567617,1,-0.0020377864,3,10,"(0, 0)"
