,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0001445732417421,1,-0.00024244227,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004806856856677,1,0.008554065,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004930189815336,1,0.0044668927,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0003210777699948,1,-0.0011612384,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.000492318564062,1,0.00779861,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004935643306234,1,0.0026948377,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004836442896855,1,0.007888184,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0002319616549963,1,-0.00036980864,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0002176228721804,1,-0.00024060096,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004652917678697,1,0.009583334,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004734446328337,1,0.0074137524,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004502219809384,1,0.0046941503,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0002319616549963,1,-0.00036980864,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.000188095697822,1,-0.00024578208,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0003947103206078,1,-0.00046322186,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0002785844662476,1,-0.00061655475,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004914331753209,1,0.008628949,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004875253740018,1,0.01236882,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0002660347243926,1,-0.0005522547,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0003202959389913,1,-0.0012541063,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004722159104111,1,0.0059818057,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004998252603441,1,0.0019794507,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004735376102166,1,0.0037914943,3,10,"(0, 0)"
