,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.000388338023373,1,-0.004773164,6,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004835943005148,1,0.0011654142,6,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004700348434313,1,0.0044785114,6,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0003638895038382,1,-0.0047727213,6,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.000487657904222,1,-0.00042847072,6,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004989002243359,1,-0.011651391,6,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004983138239296,1,-0.0016097252,6,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004693280658847,1,-0.0030709514,6,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0003867894726312,1,-0.004425226,6,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004910108631899,1,0.0025645148,6,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004986195121806,1,-0.0027900066,6,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004901360866054,1,0.003714554,6,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004764463618841,1,-0.003764165,6,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004997669170482,1,-0.023235222,6,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004056425608228,1,-0.006058581,6,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.000497878430494,1,-0.004437496,6,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004763018367128,1,0.019363988,6,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.000493092200045,1,0.032782894,6,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004045017914623,1,-0.0059091235,6,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004165390483789,1,-0.005670602,6,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004705414978232,1,0.0006135029,6,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004901585952236,1,0.0043241065,6,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004865391164704,1,-0.0070795445,6,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004457766777419,1,-0.0029533093,6,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.00036663162744,1,-0.0044377083,6,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004560346224454,1,-0.016708381,6,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0004847139733843,1,0.0044473596,6,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0003952035102539,1,-0.0060723517,6,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004785357490725,1,0.0045975596,6,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004889771168865,1,-0.0038356432,6,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0004842870200522,1,-0.003961072,6,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004888467764443,1,0.0053467993,6,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004790247891711,1,2.455744e-05,6,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004850217280588,1,-0.013527374,6,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004863557411839,1,0.0042940425,6,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004731018369283,1,0.004709395,6,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004905009789326,1,0.003010151,6,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004822539423263,1,0.003207984,6,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004815639081524,1,0.004552383,6,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.000481462879485,1,0.004793923,6,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004929436253016,1,0.0028553838,6,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004890281461423,1,0.0054497486,6,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.000483437827135,1,0.026427554,6,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004857488979228,1,-0.0018882193,6,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004870508970353,1,-0.012128335,6,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004738399388944,1,0.00013181502,6,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004699934354016,1,0.0061004064,6,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004875656804933,1,-0.0044446797,6,10,"(0, 0)"
22,Blacks,"(64,)",optimize,0.00049932392159,1,0.018294306,6,10,"(0, 0)"
18,Blacks,"(512,)",optimize,0.0004805484662363,1,0.013691872,6,10,"(0, 0)"
