,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004437288052189,1,0.007065408,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004774859021994,1,0.002429284,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004875536356582,1,0.003980519,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004356432842964,1,0.0072300546,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004808681689537,1,0.0014951542,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004919937695645,1,-0.0017495168,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004929290683698,1,3.3969598e-05,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004977845531938,1,0.0069066887,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004322025523014,1,0.0062976494,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.000494868110585,1,0.006327976,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004958471299708,1,0.0029316507,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004731663649466,1,0.00072515383,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004977845531938,1,0.0069066887,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004262262134918,1,0.0023264335,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004358701791293,1,0.008268869,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.000453312640072,1,0.006749493,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004811513397238,1,0.027248286,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004997079815741,1,0.029949987,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.000491500571553,1,0.0066279597,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004455228430287,1,0.007135111,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.000480684882184,1,0.024186239,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004771378273334,1,-0.0028091075,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004894803884043,1,0.0032426612,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004356432842964,1,0.0072300546,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004455228430287,1,0.007135111,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004262262134918,1,0.0023264335,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0004578211527937,1,0.0009673019,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004358701791293,1,0.008268869,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004954512396035,1,0.0019687763,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.000453312640072,1,0.006749493,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.000491500571553,1,0.0066279597,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004941283123505,1,0.006190248,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004558475863615,1,0.005140729,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004255474537235,1,-0.00012077787,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004562472027631,1,0.0023911246,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004911289185619,1,0.0057913554,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004588025953698,1,0.0054823495,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.000481097541788,1,0.006314843,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004952416310969,1,0.006112204,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.0004768348909671,1,0.0034838747,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004644159282541,1,0.0051699057,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004939990406095,1,0.0063729547,3,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.0004994920168207,1,0.029321566,3,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004986060151413,1,0.0028351434,3,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004870111018143,1,0.022502132,3,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004806821770093,1,0.023424972,3,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004781475432537,1,0.024237419,3,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004915919803805,1,0.02330224,3,10,"(0, 0)"
22,Blacks,"(64,)",optimize,0.0004872390800245,1,0.025913477,3,10,"(0, 0)"
18,Blacks,"(512,)",optimize,0.0004909877822508,1,0.028100502,3,10,"(0, 0)"
214,Strict Nanson,"(16,)",optimize,0.0004571131067533,1,0.008787968,3,10,"(0, 0)"
16,Blacks,"(4,)",optimize,0.0004897346443953,1,0.020576527,3,10,"(0, 0)"
200,Stable Voting,"(512,)",optimize,0.0004881369565893,1,0.024093548,3,10,"(0, 0)"
14,Blacks,"(32,)",optimize,0.0004846103936511,1,0.028244102,3,10,"(0, 0)"
222,Strict Nanson,"(32,)",optimize,0.0004729120645713,1,0.009160498,3,10,"(0, 0)"
10,Blacks,"(256,)",optimize,0.0004915987941703,1,0.027981216,3,10,"(0, 0)"
224,Strict Nanson,"(4,)",optimize,0.0004516958480681,1,0.00398862,3,10,"(0, 0)"
226,Strict Nanson,"(512,)",optimize,0.0004619763209221,1,0.008829579,3,10,"(0, 0)"
6,Blacks,"(16,)",optimize,0.0004866270983663,1,0.027501475,3,10,"(0, 0)"
3,Blacks,"(128,)",optimize,0.0004933873082243,1,0.026147101,3,10,"(0, 0)"
230,Strict Nanson,"(64,)",optimize,0.0004723846519449,1,0.007780335,3,10,"(0, 0)"
218,Strict Nanson,"(256,)",optimize,0.0004580558765218,1,0.008602284,3,10,"(0, 0)"
29,Borda,"(128,)",optimize,0.0004796224949448,1,0.028663008,3,10,"(0, 0)"
211,Strict Nanson,"(128,)",optimize,0.0004601378260604,1,0.007783477,3,10,"(0, 0)"
114,Minimax,"(256,)",optimize,0.0004322025523014,1,0.0062976494,3,10,"(0, 0)"
40,Borda,"(32,)",optimize,0.0004963965919042,1,0.030019188,3,10,"(0, 0)"
32,Borda,"(16,)",optimize,0.0004774429563165,1,0.027787875,3,10,"(0, 0)"
188,Stable Voting,"(16,)",optimize,0.000498542224364,1,0.021264834,3,10,"(0, 0)"
192,Stable Voting,"(256,)",optimize,0.0004820277995102,1,0.024156258,3,10,"(0, 0)"
198,Stable Voting,"(4,)",optimize,0.000494976334304,1,0.014362236,3,10,"(0, 0)"
36,Borda,"(256,)",optimize,0.0004990033803674,1,0.030354267,3,10,"(0, 0)"
196,Stable Voting,"(32,)",optimize,0.0004881533034459,1,0.022596631,3,10,"(0, 0)"
119,Minimax,"(4, 4)",optimize,0.0004718549694926,1,0.0045686886,3,10,"(2, 8)"
41,Borda,"(4, 4)",optimize,0.0004915922081551,1,0.021871049,3,10,"(2, 8)"
223,Strict Nanson,"(4, 4)",optimize,0.000487906321699,1,0.004667093,3,10,"(2, 8)"
93,Instant Runoff PUT,"(4, 4)",optimize,0.0004431622134277,1,0.00015045372,3,10,"(2, 8)"
197,Stable Voting,"(4, 4)",optimize,0.0004919992903333,1,0.008407508,3,10,"(2, 8)"
145,Plurality,"(4, 4)",optimize,0.0004971680610442,1,0.0014958574,3,10,"(2, 8)"
15,Blacks,"(4, 4)",optimize,0.0004965448231222,1,0.016901001,3,10,"(2, 8)"
67,Instant Runoff,"(4, 4)",optimize,0.0004792889881715,1,-0.004243493,3,10,"(2, 8)"
171,Split Cycle,"(4, 4)",optimize,0.0004718549694926,1,0.0045686886,3,10,"(2, 8)"
179,Split Cycle,"(8, 8)",optimize,0.0004929521735051,1,0.0056595425,3,10,"(2, 16)"
231,Strict Nanson,"(8, 8)",optimize,0.000463585983769,1,0.0037158858,3,10,"(2, 16)"
101,Instant Runoff PUT,"(8, 8)",optimize,0.000424893497983,1,0.00014637034,3,10,"(2, 16)"
75,Instant Runoff,"(8, 8)",optimize,0.0004766690338011,1,0.0017085437,3,10,"(2, 16)"
127,Minimax,"(8, 8)",optimize,0.0004929521735051,1,0.0056595425,3,10,"(2, 16)"
23,Blacks,"(8, 8)",optimize,0.0004939091975605,1,0.027153205,3,10,"(2, 16)"
49,Borda,"(8, 8)",optimize,0.0004787602133704,1,0.02932207,3,10,"(2, 16)"
205,Stable Voting,"(8, 8)",optimize,0.0004719939425773,1,0.022228839,3,10,"(2, 16)"
153,Plurality,"(8, 8)",optimize,0.0004933944598513,1,0.0059982594,3,10,"(2, 16)"
109,Minimax,"(16, 8)",optimize,0.0004371928482213,1,0.006028005,3,10,"(2, 24)"
161,Split Cycle,"(16, 8)",optimize,0.0004371928482213,1,0.006028005,3,10,"(2, 24)"
5,Blacks,"(16, 8)",optimize,0.0004869787960369,1,0.028221864,3,10,"(2, 24)"
213,Strict Nanson,"(16, 8)",optimize,0.0004574551416056,1,0.0066173263,3,10,"(2, 24)"
83,Instant Runoff PUT,"(16, 8)",optimize,0.0004565859021521,1,0.0048242896,3,10,"(2, 24)"
187,Stable Voting,"(16, 8)",optimize,0.0004781599225965,1,0.02136356,3,10,"(2, 24)"
