,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0003649206432828,1,-0.00033406838,3,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004893557859137,1,0.014917625,3,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004589521593657,1,0.014040994,3,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004747793808072,1,0.002371086,3,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004723409317795,1,0.013895963,3,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004614131510561,1,-0.00047025364,3,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004782757972107,1,0.0141788535,3,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004553442219539,1,-0.00032742703,3,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004902976775878,1,0.0030196712,3,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004963736411253,1,0.022478435,3,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004757972129226,1,0.014838033,3,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004961554882063,1,0.009302529,3,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004553442219539,1,-0.00032742703,3,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004864944403099,1,-0.0032135523,3,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004512226163707,1,0.0015281588,3,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004762844146992,1,0.002520111,3,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004937979521862,1,0.016658999,3,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004729032638102,1,0.0191827,3,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0003773113352134,1,-0.0004290301,3,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004919902883044,1,0.00086494413,3,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004882608357909,1,0.013213438,3,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004984104857407,1,0.008602976,3,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004943378334859,1,0.014547864,3,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004747793808072,1,0.002371086,3,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004919902883044,1,0.00086494413,3,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004864944403099,1,-0.0032135523,3,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0003816988841997,1,0.0023172197,3,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004512226163707,1,0.0015281588,3,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004852513470566,1,0.0027546245,3,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004762844146992,1,0.002520111,3,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0003773113352134,1,-0.0004290301,3,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004724561685012,1,0.023401508,3,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.000462684193154,1,0.004265977,3,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004495212353071,1,0.00061870087,3,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004622638543298,1,0.0018576451,3,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.0004724345325367,1,0.01957256,3,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004596139563486,1,0.0036721996,3,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004992899226587,1,0.023026077,3,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004794610865141,1,0.02082933,3,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.0003825445614579,1,0.0019900561,3,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.000483813257936,1,0.0035596713,3,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004709689487113,1,0.022415569,3,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.0004834218035801,1,0.02216525,3,10,"(0, 0)"
55,Instant Runoff,"(128,)",optimize,0.0004883502108628,1,0.014964764,3,10,"(0, 0)"
42,Borda,"(4,)",optimize,0.0004849471731163,1,0.01411885,3,10,"(0, 0)"
204,Stable Voting,"(64,)",optimize,0.0004735313251302,1,0.01300138,3,10,"(0, 0)"
25,Blacks,"(8,)",optimize,0.0004874169188946,1,0.016117953,3,10,"(0, 0)"
207,Stable Voting,"(8,)",optimize,0.0004703659245911,1,0.01256069,3,10,"(0, 0)"
22,Blacks,"(64,)",optimize,0.0004902072399072,1,0.017716773,3,10,"(0, 0)"
18,Blacks,"(512,)",optimize,0.0004994994185134,1,0.020064939,3,10,"(0, 0)"
214,Strict Nanson,"(16,)",optimize,0.0004574531896459,1,-0.0012244477,3,10,"(0, 0)"
