,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004823381645159,1,-0.013264262,6,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004945004679138,1,-0.0044325264,6,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004883185781534,1,0.013139925,6,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004853160511991,1,-0.0038423643,6,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004888540569264,1,-0.0020163013,6,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004966085084568,1,-0.023686536,6,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004959144152304,1,-0.0043013617,6,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004697939333288,1,-0.004957634,6,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.000482832186784,1,-0.0027384988,6,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.000498856192424,1,0.012742784,6,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004979151427975,1,-0.0019427566,6,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.000494621764528,1,-0.0034944052,6,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004901491977538,1,-0.0078073516,6,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004871968035704,1,-0.029376222,6,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.00047668236657,1,-0.003424223,6,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004885295083482,1,-0.0034288983,6,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004964818586643,1,0.012060231,6,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004990840711021,1,0.058070663,6,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004980173293872,1,-0.013487991,6,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004928019684429,1,-0.0067191874,6,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004911136634177,1,0.02362386,6,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004989686676447,1,-0.0001755607,6,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004999478318403,1,-0.013607665,6,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004813480923039,1,-0.003633921,6,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004896519627954,1,-0.0063556586,6,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004917854492641,1,-0.030082852,6,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0004637756891977,1,-0.004049325,6,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.0004733652396521,1,-0.0052323057,6,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004984571849214,1,-0.0046178713,6,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004786668191108,1,-0.0039531905,6,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0004920709271183,1,-0.013985972,6,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004854191293352,1,0.013977583,6,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004946314408108,1,-0.007696386,6,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004829889661376,1,-0.02435259,6,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004987344596401,1,-0.0072660563,6,10,"(0, 0)"
