,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004784181174284,1,-0.013595608,6,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004956441796911,1,-0.0070722355,6,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004854485609915,1,0.028153524,6,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004806694284024,1,-0.010542224,6,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004878948941184,1,-0.010080835,6,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.0004931427746158,1,-0.024899729,6,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004667358036586,1,-0.007464153,6,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004992996069971,1,-0.011880131,6,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004898342572742,1,-0.010511522,6,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004894533011671,1,0.030151656,6,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004871624186152,1,-0.0066061704,6,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004751869821586,1,-0.0075950334,6,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004955830751251,1,-0.013924901,6,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004973401235197,1,-0.04536162,6,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004972116603642,1,-0.010803865,6,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004911440731304,1,-0.01170772,6,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.0004975306248357,1,-0.03227369,6,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004967331670852,1,-0.0074784392,6,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004771800998701,1,-0.015007432,6,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004690322373237,1,-0.009031494,6,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004925810527226,1,-0.008054979,6,10,"(0, 0)"
77,Instant Runoff,"(8,)",optimize,0.0004956702708521,1,-0.009795187,6,10,"(0, 0)"
146,Plurality,"(4,)",optimize,0.0004951070760615,1,-0.0062186974,6,10,"(0, 0)"
107,Minimax,"(128,)",optimize,0.0004953266996124,1,-0.010047379,6,10,"(0, 0)"
118,Minimax,"(32,)",optimize,0.0004803169237205,1,-0.008839992,6,10,"(0, 0)"
120,Minimax,"(4,)",optimize,0.0004971153692137,1,-0.03153645,6,10,"(0, 0)"
103,Instant Runoff PUT,"(8,)",optimize,0.0004609194609837,1,-0.011404134,6,10,"(0, 0)"
122,Minimax,"(512,)",optimize,0.000485652698331,1,-0.010795995,6,10,"(0, 0)"
100,Instant Runoff PUT,"(64,)",optimize,0.0004789063257907,1,-0.009411904,6,10,"(0, 0)"
126,Minimax,"(64,)",optimize,0.0004822317149329,1,-0.011238713,6,10,"(0, 0)"
129,Minimax,"(8,)",optimize,0.0004977196712669,1,-0.016331013,6,10,"(0, 0)"
148,Plurality,"(512,)",optimize,0.0004871055684078,1,0.050331503,6,10,"(0, 0)"
96,Instant Runoff PUT,"(512,)",optimize,0.0004746073012552,1,-0.009027715,6,10,"(0, 0)"
94,Instant Runoff PUT,"(4,)",optimize,0.0004962238274013,1,-0.035417665,6,10,"(0, 0)"
92,Instant Runoff PUT,"(32,)",optimize,0.0004850705393481,1,-0.008729325,6,10,"(0, 0)"
136,Plurality,"(16,)",optimize,0.000489247589019,1,0.030269403,6,10,"(0, 0)"
88,Instant Runoff PUT,"(256,)",optimize,0.0004734443625588,1,-0.009085967,6,10,"(0, 0)"
140,Plurality,"(256,)",optimize,0.0004880067510087,1,0.053085767,6,10,"(0, 0)"
144,Plurality,"(32,)",optimize,0.0004883052408658,1,0.029789414,6,10,"(0, 0)"
84,Instant Runoff PUT,"(16,)",optimize,0.0004734815057327,1,-0.010326225,6,10,"(0, 0)"
81,Instant Runoff PUT,"(128,)",optimize,0.0004958621728076,1,-0.008913087,6,10,"(0, 0)"
133,Plurality,"(128,)",optimize,0.0004901331551285,1,0.052888576,6,10,"(0, 0)"
44,Borda,"(512,)",optimize,0.0004980515197507,1,-0.0025784771,6,10,"(0, 0)"
