,vm,model_size,labeling,est_std_error,generation,average_mean_profitability,num_cands,num_voters,model_size_tuple
233,Strict Nanson,"(8,)",optimize,0.0004763282231634,1,-0.014861753,6,10,"(0, 0)"
74,Instant Runoff,"(64,)",optimize,0.0004760553469318,1,-0.006961162,6,10,"(0, 0)"
155,Plurality,"(8,)",optimize,0.0004947884514561,1,0.030289615,6,10,"(0, 0)"
159,Split Cycle,"(128,)",optimize,0.0004875154938463,1,-0.01111464,6,10,"(0, 0)"
70,Instant Runoff,"(512,)",optimize,0.0004935877090835,1,-0.009084982,6,10,"(0, 0)"
68,Instant Runoff,"(4,)",optimize,0.000492952458466,1,-0.0417755,6,10,"(0, 0)"
66,Instant Runoff,"(32,)",optimize,0.0004794637920248,1,-0.0074821236,6,10,"(0, 0)"
162,Split Cycle,"(16,)",optimize,0.0004996750509538,1,-0.012223299,6,10,"(0, 0)"
166,Split Cycle,"(256,)",optimize,0.0004974754873163,1,-0.0084429,6,10,"(0, 0)"
152,Plurality,"(64,)",optimize,0.0004996022045528,1,0.031008795,6,10,"(0, 0)"
62,Instant Runoff,"(256,)",optimize,0.0004929820483126,1,-0.0065505514,6,10,"(0, 0)"
58,Instant Runoff,"(16,)",optimize,0.0004989203692156,1,-0.007844955,6,10,"(0, 0)"
110,Minimax,"(16,)",optimize,0.0004982104503044,1,-0.01349326,6,10,"(0, 0)"
172,Split Cycle,"(4,)",optimize,0.0004937726586747,1,-0.032659955,6,10,"(0, 0)"
174,Split Cycle,"(512,)",optimize,0.0004817154727196,1,-0.010686838,6,10,"(0, 0)"
178,Split Cycle,"(64,)",optimize,0.0004797429010718,1,-0.012866495,6,10,"(0, 0)"
51,Borda,"(8,)",optimize,0.000496112268612,1,-0.036924977,6,10,"(0, 0)"
48,Borda,"(64,)",optimize,0.0004950839519214,1,-0.00021473385,6,10,"(0, 0)"
181,Split Cycle,"(8,)",optimize,0.0004717272551185,1,-0.014701446,6,10,"(0, 0)"
170,Split Cycle,"(32,)",optimize,0.0004848002666262,1,-0.0107686985,6,10,"(0, 0)"
185,Stable Voting,"(128,)",optimize,0.0004966096906682,1,-0.007004896,6,10,"(0, 0)"
