,num_cands,num_voters,generation,decision_rule,vm,mean,est_std_error,variance,num_trials,max_std_error,initial_trials,step_trials,min_num_trials,pref_voting_version
0,5,5,1,max,Plurality,0.0575130486580619,0.0003358884372448,0.014787566831996,131072,0.0005,4096,4096,4095,0.4.42
1,5,5,1,max,Borda,0.0935634013757793,0.0004602960880735,0.0277703389658544,131072,0.0005,4096,4096,4095,0.4.42
2,5,5,1,max,Instant Runoff,0.0631999240627866,0.0004927825238847,0.0318285759335753,131072,0.0005,4096,4096,4095,0.4.42
3,5,5,1,max,Instant Runoff PUT,0.0448411298645105,0.0003426254180928,0.0153867100477298,131072,0.0005,4096,4096,4095,0.4.42
4,5,5,1,max,Minimax,0.0273608180991429,0.0002095886175151,0.0057576067501327,131072,0.0005,4096,4096,4095,0.4.42
5,5,5,1,max,Stable Voting,0.0548094887765239,0.0004053425704482,0.0215353060082594,131072,0.0005,4096,4096,4095,0.4.42
6,5,5,1,max,Split Cycle,0.0268423407563575,0.0002044781013196,0.0054802481052931,131072,0.0005,4096,4096,4095,0.4.42
7,5,5,1,max,Strict Nanson,0.0514218188900752,0.0004138615527504,0.0224500223930218,131072,0.0005,4096,4096,4095,0.4.42
8,5,5,1,max,Blacks,0.0604656254656195,0.0004974400058515,0.0233111980234279,94208,0.0005,4096,4096,4095,1.13.20
9,5,6,1,max,Plurality,0.0480076287919982,0.0003310746712243,0.012121927940711,110592,0.0005,4096,4096,4095,0.4.42
10,5,6,1,max,Borda,0.0885383375670726,0.0004918836340929,0.0267574382038424,110592,0.0005,4096,4096,4095,0.4.42
11,5,6,1,max,Instant Runoff,0.0447398015740018,0.0003702561560438,0.0151608782857804,110592,0.0005,4096,4096,4095,0.4.42
12,5,6,1,max,Instant Runoff PUT,0.0338314058528857,0.0002356431371875,0.0061408625550624,110592,0.0005,4096,4096,4095,0.4.42
13,5,6,1,max,Minimax,0.0327992502496807,0.000259715138387,0.0074595789460984,110592,0.0005,4096,4096,4095,0.4.42
14,5,6,1,max,Stable Voting,0.0681268107246983,0.0004766188000553,0.0251224576612967,110592,0.0005,4096,4096,4095,0.4.42
15,5,6,1,max,Split Cycle,0.0337587856098837,0.0002627286564636,0.0076336927330241,110592,0.0005,4096,4096,4095,0.4.42
16,5,6,1,max,Strict Nanson,0.0369173308541247,0.0002893070946817,0.0092563113233183,110592,0.0005,4096,4096,4095,0.4.42
17,5,6,1,max,Blacks,0.0862431668820935,0.0004985600558333,0.026470623956879,106496,0.0005,4096,4096,4095,1.13.20
18,5,10,1,max,Plurality,0.0523454992811745,0.0003666295151909,0.0132136141501213,98304,0.0005,4096,4096,4095,0.4.42
19,5,10,1,max,Borda,0.0750495226463603,0.0004951179300766,0.0240981708936722,98304,0.0005,4096,4096,4095,0.4.42
20,5,10,1,max,Instant Runoff,0.0518924651964473,0.0004523882734744,0.0201182152082076,98304,0.0005,4096,4096,4095,0.4.42
21,5,10,1,max,Instant Runoff PUT,0.0336422187779556,0.000275605347961,0.0074669295340928,98304,0.0005,4096,4096,4095,0.4.42
22,5,10,1,max,Minimax,0.0274104957637825,0.0002601911767045,0.0066550588794934,98304,0.0005,4096,4096,4095,0.4.42
23,5,10,1,max,Stable Voting,0.0521863794321485,0.0004679162249957,0.0215230086890638,98304,0.0005,4096,4096,4095,0.4.42
24,5,10,1,max,Split Cycle,0.029146948275766,0.000266999545757,0.0070078987220808,98304,0.0005,4096,4096,4095,0.4.42
25,5,10,1,max,Strict Nanson,0.0355955421363317,0.0003335903407911,0.0109394051181655,98304,0.0005,4096,4096,4095,0.4.42
26,5,10,1,max,Blacks,0.0712902695680215,0.0004901612630809,0.0236180884482037,98304,0.0005,4096,4096,4095,1.13.20
27,5,11,1,max,Plurality,0.0499925712005757,0.0003369938999708,0.0125592545971031,110592,0.0005,4096,4096,4095,0.4.42
28,5,11,1,max,Borda,0.0715564038777691,0.0004561822797183,0.0230142383991382,110592,0.0005,4096,4096,4095,0.4.42
29,5,11,1,max,Instant Runoff,0.046019208259943,0.000493252070006,0.026906525386471,110592,0.0005,4096,4096,4095,0.4.42
30,5,11,1,max,Instant Runoff PUT,0.0425900157191648,0.0003860728847134,0.0164838398471409,110592,0.0005,4096,4096,4095,0.4.42
31,5,11,1,max,Minimax,0.0252214073830305,0.0002312747873018,0.0059152944206648,110592,0.0005,4096,4096,4095,0.4.42
32,5,11,1,max,Stable Voting,0.0396968045857736,0.0003956437532594,0.0173112493261371,110592,0.0005,4096,4096,4095,0.4.42
33,5,11,1,max,Split Cycle,0.0249142361956829,0.0002280688217554,0.0057524337142482,110592,0.0005,4096,4096,4095,0.4.42
34,5,11,1,max,Strict Nanson,0.0415064784449903,0.0004302614539122,0.0204731498864621,110592,0.0005,4096,4096,4095,0.4.42
35,5,11,1,max,Blacks,0.0477109931621249,0.0004972839252983,0.0192449510235707,77824,0.0005,4096,4096,4095,1.13.20
36,5,20,1,max,Plurality,0.0458330936382418,0.0003890909623874,0.0117817622623742,77824,0.0005,4096,4096,4095,0.4.42
37,5,20,1,max,Borda,0.0564207770552092,0.0004940259882676,0.0189936118956926,77824,0.0005,4096,4096,4095,0.4.42
38,5,20,1,max,Instant Runoff,0.0397199646317002,0.0004723648627373,0.0173645342010618,77824,0.0005,4096,4096,4095,0.4.42
39,5,20,1,max,Instant Runoff PUT,0.0374631274694252,0.0003881328966078,0.0117238127987367,77824,0.0005,4096,4096,4095,0.4.42
40,5,20,1,max,Minimax,0.0214644107139751,0.0002631883431394,0.0053906516548268,77824,0.0005,4096,4096,4095,0.4.42
41,5,20,1,max,Stable Voting,0.0354018817208682,0.0004530546449655,0.0159738331268353,77824,0.0005,4096,4096,4095,0.4.42
42,5,20,1,max,Split Cycle,0.0234366704387225,0.0002744059597501,0.0058599653405772,77824,0.0005,4096,4096,4095,0.4.42
43,5,20,1,max,Strict Nanson,0.0307866840179657,0.00038683764035,0.0116456952046273,77824,0.0005,4096,4096,4095,0.4.42
44,5,20,1,max,Blacks,0.0512905315207398,0.0004960112047647,0.0181388411261947,73728,0.0005,4096,4096,4095,1.13.20
45,5,21,1,max,Plurality,0.0454249135461194,0.0003319442590939,0.0117343636220339,106496,0.0005,4096,4096,4095,0.4.42
46,5,21,1,max,Borda,0.0539920356627515,0.0004134575666848,0.018205017745515,106496,0.0005,4096,4096,4095,0.4.42
47,5,21,1,max,Instant Runoff,0.0489605034989235,0.000494674451495,0.0260596260663857,106496,0.0005,4096,4096,4095,0.4.42
48,5,21,1,max,Instant Runoff PUT,0.0413703485285675,0.0003616614680871,0.0139294413685527,106496,0.0005,4096,4096,4095,0.4.42
49,5,21,1,max,Minimax,0.0206587249665696,0.000219145921727,0.0051144154538489,106496,0.0005,4096,4096,4095,0.4.42
50,5,21,1,max,Stable Voting,0.0288572113798302,0.0003543270228149,0.0133701958256215,106496,0.0005,4096,4096,4095,0.4.42
51,5,21,1,max,Split Cycle,0.0206806002659994,0.000217428487315,0.00503456679,106496,0.0005,4096,4096,4095,0.4.42
52,5,21,1,max,Strict Nanson,0.0329284952509266,0.0004046567474805,0.0174382456340669,106496,0.0005,4096,4096,4095,0.4.42
53,5,21,1,max,Blacks,0.0378412091207203,0.0004911650820195,0.0158098690354108,65536,0.0005,4096,4096,4095,1.13.20
54,4,5,1,max,Plurality,0.0390649291663637,0.0003301222593473,0.0111595153256355,102400,0.0005,4096,4096,4095,0.4.42
55,4,5,1,max,Borda,0.071785094855917,0.0004509944511789,0.0208275464914124,102400,0.0005,4096,4096,4095,0.4.42
56,4,5,1,max,Instant Runoff,0.0425024860881805,0.0004951473195294,0.0251052517161429,102400,0.0005,4096,4096,4095,0.4.42
57,4,5,1,max,Instant Runoff PUT,0.0321073446429533,0.0003699053642204,0.0140112529662809,102400,0.0005,4096,4096,4095,0.4.42
58,4,5,1,max,Minimax,0.0197177620921644,0.0002077500425763,0.0044195490514238,102400,0.0005,4096,4096,4095,0.4.42
59,4,5,1,max,Stable Voting,0.0365963005347549,0.0003686502678994,0.0139163333472686,102400,0.0005,4096,4096,4095,0.4.42
60,4,5,1,max,Split Cycle,0.0190298593215327,0.0002016456955151,0.0041636443586381,102400,0.0005,4096,4096,4095,0.4.42
61,4,5,1,max,Strict Nanson,0.031683955620945,0.0003711358870314,0.0141046273543567,102400,0.0005,4096,4096,4095,0.4.42
62,4,5,1,max,Blacks,0.0391871548016561,0.0004896469390942,0.0157122865795425,65536,0.0005,4096,4096,4095,1.13.20
63,4,6,1,max,Plurality,0.0343644766427943,0.0003212664539616,0.0088777917439529,86016,0.0005,4096,4096,4095,0.4.42
64,4,6,1,max,Borda,0.0707231181586512,0.0004980459900572,0.0213360042533608,86016,0.0005,4096,4096,4095,0.4.42
65,4,6,1,max,Instant Runoff,0.0265471714500431,0.0002947973525804,0.0074751747837932,86016,0.0005,4096,4096,4095,0.4.42
66,4,6,1,max,Instant Runoff PUT,0.0234853229198328,0.0002374122616304,0.0048481995183649,86016,0.0005,4096,4096,4095,0.4.42
67,4,6,1,max,Minimax,0.0244238519113867,0.0002620045712765,0.005904619697735,86016,0.0005,4096,4096,4095,0.4.42
68,4,6,1,max,Stable Voting,0.0576218135088271,0.00048491951554,0.0202261637474887,86016,0.0005,4096,4096,4095,0.4.42
69,4,6,1,max,Split Cycle,0.0245537486279408,0.0002619620415284,0.0059027029250167,86016,0.0005,4096,4096,4095,0.4.42
70,4,6,1,max,Strict Nanson,0.0261536507223967,0.0002819294578536,0.0068368351149745,86016,0.0005,4096,4096,4095,0.4.42
71,4,6,1,max,Blacks,0.0688746022798573,0.0004949864338761,0.0210746701695852,86016,0.0005,4096,4096,4095,1.13.20
72,4,10,1,max,Plurality,0.0379929275074526,0.0003608055295182,0.0101310471786809,77824,0.0005,4096,4096,4095,0.4.42
73,4,10,1,max,Borda,0.0587883591873876,0.000487213536335,0.0184733926047676,77824,0.0005,4096,4096,4095,0.4.42
74,4,10,1,max,Instant Runoff,0.0410891876611979,0.0004646406715103,0.0168012816836894,77824,0.0005,4096,4096,4095,0.4.42
75,4,10,1,max,Instant Runoff PUT,0.0226446252362165,0.0002631170937959,0.0053877333766226,77824,0.0005,4096,4096,4095,0.4.42
76,4,10,1,max,Minimax,0.0206942300002106,0.0002612447061976,0.0053113260912859,77824,0.0005,4096,4096,4095,0.4.42
77,4,10,1,max,Stable Voting,0.0420904734158543,0.000453906882665,0.0160339861661022,77824,0.0005,4096,4096,4095,0.4.42
78,4,10,1,max,Split Cycle,0.0213126663182264,0.0002647623065917,0.0054553206243759,77824,0.0005,4096,4096,4095,0.4.42
79,4,10,1,max,Strict Nanson,0.0250407394286497,0.0003189770943989,0.007918209056136,77824,0.0005,4096,4096,4095,0.4.42
80,4,10,1,max,Blacks,0.0553612335072716,0.0004950779464624,0.0180706479141902,73728,0.0005,4096,4096,4095,1.13.20
81,4,11,1,max,Plurality,0.0388407405100106,0.0003777909791059,0.0105227615636208,73728,0.0005,4096,4096,4095,0.4.42
82,4,11,1,max,Borda,0.056955971892007,0.0004917170296492,0.0178261296773179,73728,0.0005,4096,4096,4095,0.4.42
83,4,11,1,max,Instant Runoff,0.027651977176553,0.0004778481666451,0.0168347398954832,73728,0.0005,4096,4096,4095,0.4.42
84,4,11,1,max,Instant Runoff PUT,0.0291822017177705,0.0004193604442437,0.0129658648337873,73728,0.0005,4096,4096,4095,0.4.42
85,4,11,1,max,Minimax,0.0187326908736665,0.0002529185358121,0.0047161529405314,73728,0.0005,4096,4096,4095,0.4.42
86,4,11,1,max,Stable Voting,0.0287418107087532,0.0004052770144736,0.0121096198239317,73728,0.0005,4096,4096,4095,0.4.42
87,4,11,1,max,Split Cycle,0.0184303168912889,0.0002500085081621,0.0046082511459737,73728,0.0005,4096,4096,4095,0.4.42
88,4,11,1,max,Strict Nanson,0.0272911651281096,0.0004348835641877,0.0139435240916136,73728,0.0005,4096,4096,4095,0.4.42
89,4,11,1,max,Blacks,0.0335139645066685,0.0004857311705364,0.0144955963359154,61440,0.0005,4096,4096,4095,1.13.20
90,4,20,1,max,Plurality,0.0343490877645258,0.0004064117082846,0.0094713706414447,57344,0.0005,4096,4096,4095,0.4.42
91,4,20,1,max,Borda,0.0434294547198656,0.0004993207572087,0.0142968266370075,57344,0.0005,4096,4096,4095,0.4.42
92,4,20,1,max,Instant Runoff,0.0282001867486487,0.0004774411481386,0.0130713397134774,57344,0.0005,4096,4096,4095,0.4.42
93,4,20,1,max,Instant Runoff PUT,0.0263779603799765,0.0004046152186032,0.0093878218041111,57344,0.0005,4096,4096,4095,0.4.42
94,4,20,1,max,Minimax,0.0161122435719036,0.0002766048317762,0.0043873262887368,57344,0.0005,4096,4096,4095,0.4.42
95,4,20,1,max,Stable Voting,0.0274142032448723,0.0004475890832968,0.0114878665304399,57344,0.0005,4096,4096,4095,0.4.42
96,4,20,1,max,Split Cycle,0.0166638646800756,0.0002806359767525,0.0045161369296748,57344,0.0005,4096,4096,4095,0.4.42
97,4,20,1,max,Strict Nanson,0.0209257579044398,0.0003757745845908,0.0080972065328712,57344,0.0005,4096,4096,4095,0.4.42
98,4,20,1,max,Blacks,0.0383485367685301,0.0004863869211829,0.013565761791901,57344,0.0005,4096,4096,4095,1.13.20
99,4,21,1,max,Plurality,0.0326795680910117,0.0003436660087466,0.0091913885746661,77824,0.0005,4096,4096,4095,0.4.42
100,4,21,1,max,Borda,0.0438289172202044,0.0004325950446845,0.0145636773598106,77824,0.0005,4096,4096,4095,0.4.42
101,4,21,1,max,Instant Runoff,0.0348215831602852,0.0004980906635556,0.0193074434187458,77824,0.0005,4096,4096,4095,0.4.42
102,4,21,1,max,Instant Runoff PUT,0.029855558168537,0.0003838341697932,0.0114655590776971,77824,0.0005,4096,4096,4095,0.4.42
103,4,21,1,max,Minimax,0.0148231513676468,0.0002254237404948,0.0039546428890248,77824,0.0005,4096,4096,4095,0.4.42
104,4,21,1,max,Stable Voting,0.0203760217152388,0.0003445998983976,0.0092414104291746,77824,0.0005,4096,4096,4095,0.4.42
105,4,21,1,max,Split Cycle,0.0146027343573659,0.0002226576777156,0.003858187402632,77824,0.0005,4096,4096,4095,0.4.42
106,4,21,1,max,Strict Nanson,0.0204271431443714,0.0003824289966768,0.0113817645320078,77824,0.0005,4096,4096,4095,0.4.42
